no,income
9248,0
5164,0
21342,0
19966,0
20939,0
24440,0
14138,0
643,0
14884,1
26128,0
4276,0
812,0
13501,0
21563,0
25651,0
22171,0
14225,0
3221,0
6213,1
21771,0
19873,0
13344,0
6860,1
26235,0
8587,1
5990,0
4368,0
25438,0
1429,0
23614,0
10789,0
8221,0
5105,1
23088,0
24080,0
22327,0
1183,1
15357,0
21571,0
3977,0
10444,0
14281,1
24007,0
28959,1
22467,0
25687,1
8464,0
7032,0
6166,1
9287,0
21522,0
332,0
25223,0
15616,1
9455,0
10134,1
9808,0
6221,1
21668,1
9352,1
28538,0
23918,0
21295,0
18389,1
13533,0
22186,0
27108,0
10604,0
27033,1
16915,0
4056,1
27160,1
19198,0
15890,0
17472,0
22260,1
15067,0
16240,0
1558,0
12650,0
10585,0
25801,0
4770,1
19493,0
21439,0
14709,0
17925,0
22915,0
7455,0
13267,0
15976,0
21107,0
16459,0
13173,0
25611,0
13306,0
2240,1
25170,0
16484,0
10354,0
28182,0
12715,0
14773,0
3646,0
15323,0
297,0
20306,0
28069,1
27252,0
4278,1
20967,0
26914,1
13163,0
8442,1
3854,0
17777,0
11442,0
11916,1
22472,1
574,1
11070,0
19976,0
13552,0
12147,0
27850,0
24398,1
3402,0
23744,0
16884,1
17470,0
5319,0
20167,0
7589,0
14080,0
22486,1
27168,0
19387,0
6197,0
22863,0
24874,0
21789,0
5254,0
16729,1
13322,1
23627,0
15071,1
28374,0
24089,0
16073,0
1099,0
18817,0
21442,1
14836,0
20502,0
2697,0
19427,0
27304,1
27084,0
25814,0
24050,1
15664,0
24244,0
2276,0
4141,0
2189,1
1089,1
25457,0
24169,0
28403,0
11252,0
4356,0
24010,0
9189,1
23013,1
28210,0
27577,0
18500,0
19257,0
13254,0
193,0
14894,0
20696,0
13328,0
23017,0
25281,1
1424,0
2108,1
22775,0
21892,0
2924,1
6147,0
7927,0
4992,0
7818,0
24134,0
1248,0
16541,0
18537,0
27581,0
3971,0
21579,1
12776,1
11552,0
26699,0
22220,0
25917,1
2309,0
13008,0
26921,0
5023,0
13144,0
5528,0
2902,0
26868,0
8256,0
26625,1
1240,0
11882,0
28423,0
19597,0
3961,0
15478,0
24517,0
7211,1
9409,0
167,0
15662,0
10756,0
18326,1
12238,1
478,0
833,0
15428,0
4067,0
19748,1
12409,0
343,1
8905,1
8246,0
4858,0
18723,1
2231,1
11153,0
16332,0
18024,0
8879,0
2012,0
20962,1
25341,0
17487,0
20566,0
27659,0
17278,1
3240,1
12794,0
20788,0
4330,1
28176,0
23388,1
13943,0
26922,0
11810,0
13464,0
18260,0
5032,1
25650,1
8954,0
5905,1
9807,0
19117,1
27735,1
9847,1
25054,0
25649,0
19604,0
19206,0
19068,0
16137,0
3973,0
18909,0
2034,1
18516,0
1014,0
7149,0
18391,0
17845,0
5219,0
4824,1
16237,0
26850,0
620,1
27335,0
13535,0
17459,1
25822,0
1593,0
11149,0
19242,0
21454,0
13244,1
2490,0
10488,1
21528,1
9647,0
3719,1
13505,1
24985,0
2521,0
15864,0
17178,0
10863,1
20523,1
11151,1
11441,0
8406,0
16168,0
20057,1
22132,0
7676,0
22019,0
18638,0
4508,1
4485,1
10192,0
8306,0
25581,0
1594,0
11419,1
15903,1
14349,0
9607,1
21336,0
3024,1
27840,0
5170,0
8818,1
19004,1
6322,0
17623,0
4104,0
17056,0
9704,0
222,1
18070,0
21478,0
3003,1
9813,0
20726,0
8514,1
1993,1
27146,0
26323,0
1211,0
24965,0
16622,0
16235,0
12333,0
4447,0
8551,1
8910,0
13376,1
19011,1
61,0
24854,0
25683,0
13987,0
8020,0
19018,1
24732,0
22636,0
12868,0
5175,0
14598,0
7711,0
26284,1
8924,0
1009,0
3493,1
13585,0
14175,1
13241,0
10778,0
7274,0
13332,0
13972,1
25353,0
7461,0
19391,0
767,1
23820,1
20588,0
10008,0
28439,0
11122,0
11059,0
9568,0
15446,0
3048,0
8037,0
8523,0
20257,0
29158,0
20641,0
18440,0
21128,0
6618,0
14783,0
4283,0
24306,1
6151,0
11091,0
12519,0
23374,0
19363,0
28909,1
24693,0
28918,0
25233,0
23981,0
1997,0
20627,0
27328,0
25619,0
26384,0
2242,0
20563,1
15910,0
14198,0
12915,0
25464,0
394,0
504,0
20844,1
6249,0
22156,1
28546,0
10992,0
14555,0
6911,0
22487,0
313,1
19156,0
12813,1
6945,0
5889,0
1358,0
3260,0
9566,0
2871,0
4058,0
15340,1
26133,0
8208,1
21166,1
17014,0
27201,0
1080,1
15427,1
21893,0
24165,1
9485,1
22140,0
10459,0
19587,0
23757,0
677,0
325,0
13712,0
5279,0
15735,0
9618,0
27648,0
664,0
13307,1
5552,0
13494,1
6664,0
21945,0
4809,0
11760,0
1569,0
20241,1
18489,0
29229,0
9845,0
7278,0
25748,0
2289,0
10426,1
16947,0
2529,0
4047,0
10804,0
6324,0
18970,0
22034,0
21088,0
3867,1
20237,0
11562,0
23966,0
15047,0
18552,0
21073,0
23180,0
9078,0
21028,0
26170,0
126,0
11731,1
17310,1
3635,0
23926,0
9462,0
27484,1
8310,1
9878,0
3174,0
8780,0
642,1
8762,0
21770,0
9908,0
6741,0
444,0
28326,0
15113,0
13411,0
21296,1
6746,0
9997,0
2972,1
26361,0
16885,1
24821,0
25598,1
16973,0
6423,0
8322,1
26012,0
6456,0
508,0
1622,0
12545,1
20972,0
5493,1
17597,1
17365,1
17114,0
3209,1
4916,0
4468,0
8684,0
20314,0
21181,1
19851,0
29252,0
24864,0
3527,0
12117,0
22438,0
11411,0
2909,0
16401,0
12400,0
13896,0
25229,1
9706,0
4596,1
16730,1
625,0
17050,0
20510,1
15580,0
2736,1
19779,0
27038,1
1103,0
11567,0
25834,0
21625,0
18462,0
16192,0
5362,0
9476,0
21614,0
28208,0
4820,0
20403,1
217,1
10065,1
22476,0
3683,0
6769,0
5533,1
8309,1
17800,0
1104,0
4930,0
62,0
20757,1
4822,0
1650,1
25079,1
460,0
27255,0
3019,0
15617,0
22563,1
27630,1
6581,0
21677,1
27469,0
1916,0
29223,1
4693,0
12923,0
9299,0
3345,1
5044,0
13175,0
18990,0
13082,0
6451,0
1881,0
8828,1
19965,0
25707,0
14219,0
26401,0
19082,0
17320,0
28677,0
1303,1
5591,1
28380,0
14330,0
27649,0
9730,0
22052,0
11002,0
19398,0
12855,1
19544,0
665,0
24667,1
25225,1
23972,0
3506,0
3857,0
15328,0
20538,1
4402,0
9764,0
7417,0
16894,1
5740,0
10643,1
21129,0
28935,0
20146,1
18490,0
5265,1
1982,0
23783,1
18634,1
10832,0
12695,0
6640,0
8461,0
322,1
13754,0
21037,0
16761,0
28460,1
4762,0
20391,1
21065,0
11414,0
22128,0
13498,0
25166,0
4686,0
14899,0
27627,1
2943,0
10767,0
26028,0
9488,0
18374,0
16707,0
29280,1
3152,0
16853,0
14569,0
10197,0
3147,1
12311,1
9508,0
10501,0
9,0
16824,0
21645,0
1430,0
13228,0
12754,0
14756,0
20789,0
4695,0
13680,0
28333,0
15573,1
6857,0
4014,0
5761,0
3865,0
19618,0
25634,0
21505,0
29014,0
12992,0
22102,0
16377,0
14841,0
3103,0
1944,0
14803,0
14068,0
16065,0
25325,0
7724,1
4137,1
15534,0
23324,0
154,0
14697,0
23036,0
8262,0
27904,0
15246,0
21551,0
18461,1
21334,1
24856,0
17759,0
6019,0
2475,0
28194,0
17362,0
28852,0
9343,0
6314,1
16335,0
12492,0
17314,0
21885,0
13208,0
3880,0
7323,1
15798,0
2100,0
5358,1
13607,0
22568,1
19570,0
20302,0
17254,1
21333,0
4289,1
6432,0
16892,0
19315,0
17377,0
10365,1
5340,0
20210,0
4574,1
8054,0
18469,1
15096,0
13798,0
20843,1
1105,0
20333,0
11244,0
26589,0
2462,0
21717,0
11776,0
8265,0
7575,0
10700,0
13875,0
17736,0
22170,0
1097,0
12668,0
11083,1
6245,0
1151,0
3722,0
21083,0
18362,0
25571,1
15945,0
20295,0
7748,1
19145,1
734,0
11243,0
11037,0
27504,1
16375,0
22404,0
3063,0
27158,0
16650,0
15003,0
3874,0
23214,0
13543,0
23677,0
29098,1
15515,0
28094,0
21699,1
14250,1
22149,0
22991,0
19434,0
1243,0
3021,0
20837,0
18875,0
28440,0
23142,0
9285,0
7850,0
13194,0
28190,1
10014,0
744,0
12667,0
14462,0
21330,0
27148,0
21008,0
14053,0
13982,0
16605,0
18534,0
6205,1
122,0
2093,0
16169,0
21223,0
14661,0
5064,0
24376,1
12615,0
12050,0
3819,1
5621,0
24019,1
26368,1
4537,1
16115,1
12689,0
27431,0
20441,0
11485,0
11929,0
406,0
1471,1
15824,1
19446,0
11654,0
1984,0
25101,0
13661,1
14475,0
19890,0
18414,0
5558,0
27140,0
6935,0
12148,0
11423,0
18989,1
26679,0
2905,0
15315,1
16435,0
10263,1
18141,0
3043,1
16236,0
15877,0
20056,0
26714,1
19509,0
2720,0
20511,0
12795,0
22692,1
24796,1
8400,0
19735,0
10393,0
655,0
24782,0
15026,0
10441,1
18495,0
16573,0
19605,1
26439,0
10825,0
25617,0
24077,0
24163,0
25440,1
18626,0
25992,0
11079,1
21916,1
27757,0
731,0
19639,0
8411,1
6226,0
1992,1
17219,0
19699,1
14359,0
13704,0
5106,0
8425,1
28616,0
2254,1
2324,0
25923,1
21750,0
7751,0
18269,0
17918,1
20853,0
12332,1
9826,0
6642,0
16904,0
2134,0
262,1
18814,0
19109,0
11115,0
20401,0
3993,0
22273,0
28030,1
28245,0
26647,0
27777,0
20318,0
12354,0
13281,1
27726,0
19425,0
24921,0
19745,0
21697,0
324,0
19532,0
2784,1
14570,0
28417,0
28754,0
13112,0
5742,0
14054,0
20492,0
9264,1
99,1
24198,0
26990,1
21746,0
23016,0
27418,1
7273,0
8245,1
24286,0
9250,0
13355,0
17773,0
14279,0
4167,0
21667,0
10315,0
23905,0
10016,1
19250,0
10212,1
27683,1
1885,1
12644,1
3432,0
14368,1
21769,1
4149,0
652,0
8192,0
26406,0
21977,0
25041,0
23959,1
26433,0
5137,1
12780,1
13193,1
24705,0
9281,0
9019,0
25498,0
26244,1
5817,0
29194,1
27385,1
19529,0
11673,0
14420,0
21121,0
14268,1
25035,0
7055,0
21165,0
370,0
1230,0
17556,0
22659,1
15762,0
21219,0
20495,0
14400,1
10991,1
14144,1
26280,0
842,0
9587,0
15557,1
16482,0
27690,0
2392,0
1781,0
11279,0
255,0
12589,0
24669,1
24537,0
29270,0
8880,0
20724,0
23470,0
19817,1
5026,0
19050,1
25871,1
14276,0
6003,1
7799,0
16096,0
2572,1
26039,0
12386,0
6734,0
19625,0
25989,1
12276,0
21281,0
7893,0
2286,1
22835,0
11185,0
23430,0
8772,0
2792,0
28932,1
10310,0
10834,1
18535,1
12377,0
28790,0
24206,0
9175,0
14410,0
20298,0
25776,1
14085,0
8345,0
27574,0
14552,0
14052,1
27793,0
5250,0
19129,0
5620,0
27642,1
12674,0
19403,0
18283,0
9896,0
3523,0
17120,0
13768,0
16805,0
33,0
14863,0
13345,1
6148,1
4948,0
569,0
26495,0
5290,0
26583,0
8214,0
28092,0
5828,0
21940,1
9959,0
20763,0
20363,1
24185,0
23909,0
25827,1
8358,0
5386,1
8196,0
14101,0
20361,0
9389,0
5754,1
16873,0
15158,1
12927,0
5824,0
898,0
2740,0
6163,0
2504,0
748,1
2009,0
15962,1
22183,1
19074,0
5900,0
12880,0
5371,0
10229,1
28284,0
4637,1
6538,0
14191,1
23061,0
27263,0
11496,1
24330,0
11469,0
5409,0
4205,1
5130,0
17997,0
26309,0
4192,0
11393,0
9662,0
16797,0
20047,0
19668,0
13739,0
9721,0
25431,0
1641,0
14750,0
17184,0
19941,1
15010,0
719,0
26437,1
22194,0
960,1
5220,1
26293,0
13171,1
18642,0
9709,0
5000,0
4028,0
2796,1
15610,0
1228,0
9480,0
19483,0
23238,0
1669,1
7085,0
14078,0
16109,0
20245,0
8386,0
12108,1
19793,0
20897,0
8430,1
8284,0
20218,0
28518,0
15245,1
1427,0
21331,1
13627,0
12041,1
16590,0
23646,0
8704,0
2095,0
23583,0
614,0
2519,0
25491,0
22798,1
17683,0
8771,0
30,0
5357,1
16784,0
19350,1
23360,0
10667,1
28842,1
10981,1
7557,1
25690,0
22637,0
2887,1
830,0
8052,0
3608,0
22124,0
15759,0
17749,0
11576,1
8802,0
1077,0
22067,1
24313,0
4077,0
27284,0
4424,0
18068,1
23410,0
21079,0
24701,1
25968,1
342,0
23153,0
16416,0
5899,0
4250,0
3461,0
13140,0
13839,0
5555,0
28804,0
27571,0
10999,0
8483,0
24064,0
19569,1
26055,0
17798,0
19333,0
1061,0
28414,1
5322,0
1570,1
8001,0
4799,0
20423,1
205,1
2885,0
24725,1
10902,0
27379,0
7252,0
18527,0
19771,1
4408,0
22990,1
775,1
24990,0
5529,0
3835,0
22631,0
20148,0
22864,0
23249,0
15379,1
10392,1
7087,0
15443,0
18228,0
25430,0
7365,1
15539,0
6194,0
8089,0
21900,0
23850,0
20451,0
2040,1
6622,0
6519,0
12590,0
13108,0
16336,0
18568,0
3312,0
6483,0
13250,0
23970,0
3292,0
23266,0
10364,0
10949,1
28692,0
16506,0
2469,0
19159,0
4411,1
22174,0
27443,0
19364,0
5369,0
29070,0
26963,0
4665,0
12001,0
19734,0
2350,1
22533,0
20880,0
12897,1
24333,0
18163,1
23771,0
24058,0
13,0
12871,0
25239,0
9667,0
436,0
9014,1
18318,0
21865,1
14395,0
10273,0
3235,0
9076,0
367,0
14015,0
23433,0
673,1
21828,1
6663,1
5127,0
18648,0
13049,0
15398,0
1232,0
12537,1
26378,0
26344,0
11297,0
11237,1
24200,0
25476,0
5150,1
6134,1
3119,0
15308,1
21154,0
862,0
3619,0
12716,0
22606,0
28353,0
16561,0
21533,0
7973,0
27466,1
18612,0
20633,0
5858,1
10057,0
26316,0
378,0
20220,1
20513,0
1958,1
8789,0
16631,0
1554,0
16763,0
17605,1
18949,1
2188,0
4240,0
16618,0
26193,0
18317,0
17160,0
2106,0
28442,0
18220,1
976,0
19428,0
14826,0
17893,0
23516,0
4267,1
21886,0
11681,0
7339,0
20580,1
20083,1
21794,0
16381,0
7175,0
17217,0
14726,0
5380,0
3070,1
4547,1
25944,0
11887,1
19538,0
12728,0
22360,0
15881,0
9882,0
3832,0
5829,0
28996,0
23452,0
11573,0
2516,0
25459,0
18470,0
1268,0
1251,0
12065,0
13319,0
4884,0
19646,0
17572,0
29209,0
27491,1
22900,0
8327,0
27445,0
23721,1
28318,0
18665,0
24465,0
10517,0
9369,0
2658,0
16690,0
28411,0
749,0
4387,1
27545,0
4344,0
21790,0
27166,0
23751,0
24594,0
25857,1
15651,0
6684,0
23424,0
27932,0
21499,0
11811,1
21240,0
10102,0
22859,0
23810,0
10437,0
20905,0
425,0
17694,0
6617,0
18091,1
4867,1
25531,0
3940,0
15054,0
14767,0
13329,0
7321,0
22070,0
15314,0
8856,0
25303,0
16880,1
14204,0
795,1
18354,0
67,0
1541,0
13946,0
10368,1
23304,0
19237,1
16520,0
22427,1
27902,1
22159,0
16645,0
7779,1
15936,0
18745,0
7945,1
7006,1
22144,0
8151,0
18157,1
25028,0
1506,1
12221,1
23559,0
26889,1
24410,0
25885,0
10313,0
26626,0
4025,0
12061,0
29240,0
9091,0
1383,0
24489,1
22508,0
21352,0
18639,0
12054,1
3122,0
18126,0
15052,0
5507,0
15983,0
1217,0
21891,0
27883,0
23338,0
5037,0
27734,0
7541,0
2920,0
5618,0
411,1
3071,0
18528,1
11971,1
8887,1
1703,0
24857,1
28596,0
4298,0
20313,0
141,0
23994,0
16764,0
25749,0
23873,0
8109,0
11742,0
28277,0
22791,0
21514,0
23040,0
4042,0
23073,0
14601,1
6634,0
15130,0
20343,0
14797,1
23693,1
23289,1
953,0
3472,0
18876,0
13918,0
22806,0
24235,0
12698,0
24309,0
20450,0
17744,0
4012,0
5641,1
24507,0
1290,0
6390,0
7137,1
28019,0
6099,0
7403,0
753,1
2058,0
25795,0
14417,1
25131,1
11549,0
9130,1
293,0
26546,0
25411,0
28840,0
21972,0
26664,1
19152,0
1335,0
22095,0
6635,1
15620,1
4327,0
22655,0
26497,0
1491,0
27151,0
6309,0
22125,0
20892,0
26667,0
11785,0
8312,0
11531,0
34,0
15436,1
3661,1
18560,0
17498,0
9731,1
24394,0
10873,0
16964,0
21687,1
945,0
9474,1
26449,0
25945,0
8563,0
19406,0
3612,1
4310,0
5491,0
5626,1
7539,0
14900,0
24385,0
23127,0
14305,0
26011,0
27532,1
16110,0
16527,0
27631,0
2022,0
2228,1
5508,0
11826,0
20852,0
6018,0
3282,0
9883,0
24958,0
24357,0
12556,1
2044,0
25620,0
5548,0
4338,1
23713,0
19277,0
7599,0
9889,0
11381,0
9280,1
5270,0
25503,1
26923,0
19108,0
3270,0
14597,0
23581,0
2532,0
23887,0
5819,0
12998,0
408,1
1887,0
20773,0
23076,0
16256,1
12618,0
11809,0
7438,0
23921,0
995,0
7202,0
5126,0
28280,0
12940,0
8627,0
15296,0
21382,0
9992,0
2930,1
19967,0
4425,0
28816,0
7844,0
227,0
26640,0
11970,0
11743,0
1101,0
13339,1
14996,0
11126,1
18647,1
18107,0
14802,0
28537,0
17877,0
12593,1
2253,0
5590,0
19644,0
13591,1
15739,1
12500,0
26543,0
27458,0
22643,0
19820,0
25784,0
26375,0
15568,0
1856,0
2554,0
13559,0
25799,0
17404,0
22355,0
24695,1
26345,0
7872,0
20042,0
3199,1
8951,1
19738,0
6074,0
555,0
25718,0
12078,0
7825,0
2193,0
9646,0
3300,1
12463,0
23287,1
15955,0
3668,0
5980,0
23625,1
577,1
20470,1
10425,0
28623,0
27567,0
9895,0
22710,0
3794,1
28047,0
4908,0
2725,0
7322,0
18221,0
26110,0
11977,1
12328,0
18976,0
29190,0
19224,0
20636,1
3133,0
25853,1
16586,1
20038,0
6705,0
6472,0
17769,1
1535,0
17853,0
26944,0
17230,0
5565,0
6929,0
6821,1
13484,0
16127,0
341,0
19272,0
4160,1
27789,0
25103,0
13698,0
15014,0
258,0
7606,0
10215,0
18137,0
17848,0
24116,1
25362,0
26219,1
12654,0
27738,1
9513,0
24498,1
15134,1
5606,1
23154,0
11012,0
14823,0
24633,1
12511,0
6885,0
5974,1
21605,0
22832,0
52,1
19572,0
25201,0
7585,1
4360,0
24057,0
1599,1
28295,0
2751,0
28448,0
14366,0
14652,1
22713,0
22985,0
879,0
26837,0
23577,0
14391,0
8167,0
7139,1
438,1
15538,1
6542,0
6011,0
26956,1
8705,0
16564,0
16808,0
2551,0
15316,0
29304,0
23545,0
5921,0
15630,0
13268,0
55,0
8646,1
14077,0
9471,0
8738,0
22634,0
15389,0
4505,1
15552,0
2611,1
2075,0
7343,1
20477,0
9617,1
27302,0
2281,0
12787,0
25075,0
15800,1
7554,0
13539,0
15374,0
29080,1
25963,0
21066,0
10398,0
1311,0
27835,0
24615,0
25134,0
676,0
9638,0
18144,0
17032,0
19861,0
1879,0
6466,0
15153,0
12163,0
8660,0
6385,0
11180,0
13195,0
14814,0
28103,1
26047,0
2528,0
1651,1
4603,1
17237,1
17357,0
9579,0
23934,0
14254,0
17170,0
2695,0
9081,0
15256,0
27165,1
321,0
9553,0
2476,1
18079,0
28141,0
25519,0
135,1
23891,0
16326,1
3161,0
17089,1
20815,0
14172,0
8244,0
25604,1
19660,1
23066,1
2785,0
17200,1
8495,0
7102,0
11816,1
20754,0
5028,1
26609,0
1354,1
9204,0
8073,0
27879,0
16942,0
29121,1
6478,0
9386,1
18778,0
21063,0
7424,0
6354,0
2775,1
29302,0
3062,1
4340,1
10900,0
9297,1
7637,0
23582,0
15030,0
5930,1
8816,0
10650,1
8570,0
19282,0
26436,1
20010,0
10394,0
19095,0
1747,0
13922,0
10651,0
13620,1
2421,0
20950,0
250,0
19721,0
10521,1
28492,0
6829,0
3232,0
14056,0
18309,0
27594,0
13766,0
4494,1
1477,1
18685,0
7808,0
13119,0
27651,0
22358,0
28688,0
9172,0
28921,0
16038,1
12597,0
19086,1
16094,1
27285,0
21810,1
2428,0
4993,0
27434,1
18279,0
616,0
5504,0
2372,1
14302,0
24890,1
21497,0
8121,0
7047,0
26977,0
15501,0
13818,1
28637,0
7122,0
11085,0
23310,1
