no,age,age_cut,capital-gain,capital-loss,education-num,hours-per-week,relationship_ Husband,relationship_ Not-in-family,relationship_ Other-relative,relationship_ Own-child,relationship_ Unmarried,relationship_ Wife,sex_ Female,sex_ Male
151,44,5,0,0,13,60,1,0,0,0,0,0,0,1
152,31,3,0,0,11,40,0,0,0,0,1,0,1,0
153,60,6,0,0,9,50,1,0,0,0,0,0,0,1
154,19,1,0,0,10,20,0,0,0,1,0,0,1,0
155,40,4,0,0,13,45,1,0,0,0,0,0,0,1
156,32,3,0,0,9,42,1,0,0,0,0,0,0,1
157,64,7,0,0,10,35,0,1,0,0,0,0,1,0
158,27,3,0,1848,9,45,1,0,0,0,0,0,0,1
159,59,6,0,0,13,40,0,1,0,0,0,0,1,0
160,60,6,0,0,10,40,0,1,0,0,0,0,1,0
161,47,5,15024,0,15,40,1,0,0,0,0,0,0,1
162,41,5,0,0,10,35,0,1,0,0,0,0,0,1
163,30,3,0,1977,13,50,1,0,0,0,0,0,0,1
164,57,6,0,1887,9,40,1,0,0,0,0,0,0,1
165,45,5,0,0,9,42,1,0,0,0,0,0,0,1
166,61,7,0,0,16,40,1,0,0,0,0,0,0,1
167,30,3,0,0,12,40,0,0,0,0,1,0,1,0
168,23,2,0,2339,9,45,0,1,0,0,0,0,0,1
169,43,5,0,0,10,40,0,0,0,0,1,0,1,0
170,54,5,0,0,15,40,1,0,0,0,0,0,0,1
171,53,5,0,0,4,45,0,0,0,0,1,0,1,0
172,68,7,0,0,9,24,1,0,0,0,0,0,0,1
173,39,4,0,0,9,50,1,0,0,0,0,0,0,1
174,47,5,0,0,9,20,0,0,0,0,0,1,1,0
175,36,4,0,0,9,40,1,0,0,0,0,0,0,1
176,26,3,0,0,13,40,0,1,0,0,0,0,1,0
177,32,3,0,0,9,60,1,0,0,0,0,0,0,1
178,36,4,0,1977,13,40,1,0,0,0,0,0,0,1
179,26,3,0,0,10,40,0,0,1,0,0,0,1,0
180,33,3,0,0,9,40,0,1,0,0,0,0,0,1
181,75,7,0,0,9,40,0,1,0,0,0,0,1,0
182,53,5,0,0,14,40,1,0,0,0,0,0,0,1
183,37,4,0,0,9,40,0,0,0,0,1,0,1,0
184,26,3,0,0,13,50,0,0,0,1,0,0,1,0
185,27,3,0,0,9,40,0,0,0,0,1,0,1,0
186,29,3,0,0,16,45,1,0,0,0,0,0,0,1
187,47,5,0,0,10,40,1,0,0,0,0,0,0,1
188,34,3,0,0,13,40,1,0,0,0,0,0,0,1
189,40,4,0,0,13,60,1,0,0,0,0,0,0,1
190,36,4,2463,0,10,40,0,1,0,0,0,0,0,1
191,34,3,0,0,5,40,0,0,0,0,1,0,0,1
192,43,5,0,0,13,45,1,0,0,0,0,0,0,1
193,32,3,0,0,9,40,1,0,0,0,0,0,0,1
194,19,1,0,0,9,40,0,0,0,1,0,0,0,1
195,18,1,0,0,9,30,0,1,0,0,0,0,1,0
196,20,1,0,0,9,40,0,0,1,0,0,0,1,0
197,51,5,0,0,10,40,1,0,0,0,0,0,0,1
198,19,1,0,0,9,20,0,0,0,1,0,0,1,0
199,28,3,0,0,11,40,0,1,0,0,0,0,1,0
200,25,2,0,1602,6,40,0,0,0,1,0,0,0,1
201,42,5,0,0,13,35,0,0,0,0,0,1,1,0
202,57,6,3137,0,9,40,1,0,0,0,0,0,0,1
203,39,4,0,0,14,40,0,0,0,1,0,0,1,0
204,18,1,594,0,10,15,0,0,0,1,0,0,1,0
205,46,5,0,0,9,65,1,0,0,0,0,0,0,1
206,18,1,0,0,9,20,0,1,0,0,0,0,1,0
207,28,3,0,0,12,40,1,0,0,0,0,0,0,1
208,28,3,0,0,10,24,0,0,0,1,0,0,1,0
209,44,5,0,0,14,54,1,0,0,0,0,0,0,1
210,40,4,0,1902,14,48,1,0,0,0,0,0,0,1
211,27,3,0,0,13,30,0,1,0,0,0,0,1,0
212,35,3,0,0,14,35,0,0,0,0,0,1,1,0
213,50,5,0,0,6,25,0,1,0,0,0,0,0,1
214,33,3,3103,0,13,60,0,0,0,0,0,1,1,0
215,45,5,0,0,14,40,1,0,0,0,0,0,0,1
216,44,5,0,0,13,37,0,0,0,1,0,0,1,0
217,31,3,0,0,14,40,1,0,0,0,0,0,0,1
218,47,5,0,0,9,35,1,0,0,0,0,0,0,1
219,73,7,0,0,9,65,0,1,0,0,0,0,1,0
220,42,5,0,0,10,89,1,0,0,0,0,0,0,1
221,41,5,0,0,10,40,0,1,0,0,0,0,0,1
222,31,3,0,0,13,40,1,0,0,0,0,0,0,1
223,26,3,0,0,13,32,0,0,0,1,0,0,1,0
224,20,1,0,0,10,60,0,0,0,1,0,0,0,1
225,33,3,0,0,9,40,0,1,0,0,0,0,0,1
226,49,5,0,0,11,60,0,1,0,0,0,0,1,0
227,25,2,0,0,13,40,0,1,0,0,0,0,1,0
228,20,1,0,0,9,40,0,1,0,0,0,0,1,0
229,32,3,0,0,9,50,0,0,0,0,0,1,1,0
230,45,5,0,1902,9,40,1,0,0,0,0,0,0,1
231,68,7,0,0,13,40,1,0,0,0,0,0,0,1
232,30,3,0,0,11,45,0,1,0,0,0,0,0,1
233,35,3,0,0,9,40,0,0,0,0,1,0,0,1
234,48,5,0,0,16,65,1,0,0,0,0,0,0,1
235,59,6,0,0,6,40,1,0,0,0,0,0,0,1
236,42,5,5178,0,13,45,1,0,0,0,0,0,0,1
237,24,2,0,0,13,40,0,1,0,0,0,0,1,0
238,35,3,0,0,9,40,1,0,0,0,0,0,0,1
239,23,2,0,0,10,40,0,0,0,1,0,0,1,0
240,54,5,0,0,14,1,0,1,0,0,0,0,0,1
241,18,1,0,0,8,32,0,0,0,1,0,0,1,0
242,63,7,0,0,13,50,1,0,0,0,0,0,0,1
243,69,7,0,0,15,34,1,0,0,0,0,0,0,1
244,34,3,0,0,10,40,0,1,0,0,0,0,0,1
245,25,2,0,0,12,30,0,1,0,0,0,0,0,1
246,18,1,0,0,7,15,0,0,0,1,0,0,0,1
247,25,2,0,0,9,40,0,0,0,1,0,0,1,0
248,72,7,0,0,14,30,1,0,0,0,0,0,0,1
249,39,4,0,0,13,50,1,0,0,0,0,0,0,1
250,31,3,0,0,9,50,1,0,0,0,0,0,0,1
251,30,3,0,0,13,55,1,0,0,0,0,0,0,1
252,58,6,0,0,9,60,1,0,0,0,0,0,0,1
253,63,7,0,0,10,37,0,0,1,0,0,0,1,0
254,38,4,0,0,9,40,1,0,0,0,0,0,0,1
255,25,2,2174,0,10,50,0,1,0,0,0,0,1,0
256,27,3,0,0,14,20,0,1,0,0,0,0,0,1
257,19,1,0,0,9,40,0,0,0,1,0,0,0,1
258,36,4,0,0,10,40,0,0,0,0,1,0,1,0
259,36,4,0,0,9,30,0,1,0,0,0,0,1,0
260,50,5,3103,0,11,55,1,0,0,0,0,0,0,1
261,35,3,8614,0,9,40,0,1,0,0,0,0,0,1
262,47,5,0,0,13,40,1,0,0,0,0,0,0,1
263,38,4,0,0,10,40,0,0,0,1,0,0,1,0
264,23,2,0,0,12,25,0,0,0,1,0,0,0,1
265,62,7,0,0,4,53,1,0,0,0,0,0,0,1
266,46,5,0,1564,14,45,0,1,0,0,0,0,1,0
267,50,5,0,0,10,40,1,0,0,0,0,0,0,1
268,39,4,0,0,14,40,0,1,0,0,0,0,1,0
269,35,3,0,0,7,35,1,0,0,0,0,0,0,1
270,34,3,0,0,13,25,0,1,0,0,0,0,1,0
271,28,3,0,0,11,80,1,0,0,0,0,0,0,1
272,53,5,0,0,4,40,0,1,0,0,0,0,0,1
273,45,5,0,0,13,45,1,0,0,0,0,0,0,1
274,40,4,5178,0,15,40,1,0,0,0,0,0,0,1
275,20,1,0,0,10,40,0,0,0,1,0,0,0,1
276,65,7,0,0,9,40,0,0,0,0,1,0,1,0
277,45,5,0,0,9,40,1,0,0,0,0,0,0,1
278,30,3,0,0,10,40,0,0,0,0,0,1,1,0
279,45,5,0,0,9,38,0,0,0,0,1,0,1,0
280,24,2,0,0,11,40,0,1,0,0,0,0,1,0
281,24,2,0,0,3,40,0,1,0,0,0,0,0,1
282,21,2,0,0,9,33,0,0,1,0,0,0,1,0
283,30,3,0,0,10,40,1,0,0,0,0,0,0,1
284,76,7,0,0,4,2,0,1,0,0,0,0,0,1
285,32,3,0,0,13,40,0,1,0,0,0,0,0,1
286,58,6,0,0,16,24,1,0,0,0,0,0,0,1
287,51,5,0,0,9,40,0,0,0,1,0,0,1,0
288,26,3,0,0,13,90,1,0,0,0,0,0,0,1
289,23,2,0,0,10,20,0,0,0,1,0,0,1,0
290,23,2,0,0,13,30,0,0,0,1,0,0,0,1
291,33,3,0,0,4,43,0,1,0,0,0,0,0,1
292,25,2,0,0,10,40,0,0,0,1,0,0,1,0
293,21,2,0,0,9,40,0,0,0,1,0,0,0,1
294,35,3,0,1977,13,65,1,0,0,0,0,0,0,1
295,29,3,3325,0,13,45,0,1,0,0,0,0,1,0
296,29,3,0,0,10,46,1,0,0,0,0,0,0,1
297,47,5,3942,0,9,40,1,0,0,0,0,0,0,1
298,36,4,0,0,9,40,1,0,0,0,0,0,0,1
299,51,5,0,0,13,50,1,0,0,0,0,0,0,1
300,19,1,0,0,8,16,0,0,0,1,0,0,0,1
301,39,4,0,0,11,20,0,0,0,0,0,1,1,0
302,26,3,0,0,10,50,0,1,0,0,0,0,1,0
303,28,3,0,0,13,40,0,1,0,0,0,0,1,0
304,34,3,0,0,11,40,1,0,0,0,0,0,0,1
305,25,2,0,0,13,40,0,0,0,1,0,0,1,0
306,25,2,0,0,13,36,0,0,0,1,0,0,1,0
307,32,3,0,0,10,45,1,0,0,0,0,0,0,1
308,52,5,0,0,10,40,0,1,0,0,0,0,1,0
309,20,1,0,0,10,50,0,1,0,0,0,0,1,0
310,19,1,0,0,10,50,0,0,0,1,0,0,0,1
311,57,6,0,0,6,40,1,0,0,0,0,0,0,1
312,22,2,0,0,9,40,0,0,0,1,0,0,0,1
313,50,5,0,0,16,60,0,1,0,0,0,0,1,0
314,46,5,0,0,14,45,1,0,0,0,0,0,0,1
315,56,6,0,0,9,40,1,0,0,0,0,0,0,1
316,52,5,0,0,15,40,1,0,0,0,0,0,0,1
317,39,4,0,0,9,40,1,0,0,0,0,0,0,1
318,37,4,0,0,9,45,1,0,0,0,0,0,0,1
319,23,2,0,0,9,30,0,0,0,1,0,0,0,1
320,43,5,0,0,9,40,0,0,0,0,1,0,1,0
321,31,3,0,0,11,45,1,0,0,0,0,0,0,1
322,40,4,0,0,9,40,1,0,0,0,0,0,0,1
323,26,3,0,0,13,40,0,1,0,0,0,0,0,1
324,25,2,0,0,13,40,0,1,0,0,0,0,0,1
325,32,3,0,1579,9,36,1,0,0,0,0,0,0,1
326,32,3,0,0,9,40,0,0,0,1,0,0,1,0
327,50,5,15024,0,13,40,1,0,0,0,0,0,0,1
328,34,3,0,0,10,40,1,0,0,0,0,0,0,1
329,55,5,0,0,5,37,0,0,1,0,0,0,0,1
330,44,5,0,0,12,60,1,0,0,0,0,0,0,1
331,45,5,0,0,9,50,0,0,0,0,0,1,1,0
332,30,3,0,0,9,40,1,0,0,0,0,0,0,1
333,17,1,0,0,7,15,0,0,0,1,0,0,0,1
334,24,2,0,0,10,40,0,1,0,0,0,0,0,1
335,26,3,0,0,10,30,0,1,0,0,0,0,0,1
336,44,5,0,0,9,45,1,0,0,0,0,0,0,1
337,30,3,2354,0,9,40,0,1,0,0,0,0,1,0
338,18,1,0,0,10,40,0,0,0,1,0,0,1,0
339,19,1,0,0,10,40,0,0,0,1,0,0,1,0
340,50,5,0,0,9,50,1,0,0,0,0,0,0,1
341,33,3,0,0,9,50,1,0,0,0,0,0,0,1
342,35,3,0,0,7,40,1,0,0,0,0,0,0,1
343,41,5,7688,0,11,44,0,0,0,0,0,1,1,0
344,66,7,0,0,4,10,0,1,0,0,0,0,0,1
345,32,3,0,0,9,35,0,1,0,0,0,0,1,0
346,32,3,0,0,13,70,1,0,0,0,0,0,0,1
347,31,3,0,0,13,50,0,1,0,0,0,0,0,1
348,17,1,0,0,6,40,0,0,0,1,0,0,0,1
349,66,7,20051,0,16,35,1,0,0,0,0,0,0,1
350,41,5,0,0,9,40,1,0,0,0,0,0,0,1
351,26,3,0,0,13,40,0,1,0,0,0,0,1,0
352,63,7,2290,0,9,20,1,0,0,0,0,0,0,1
353,32,3,3674,0,10,40,0,1,0,0,0,0,1,0
354,38,4,0,0,4,36,1,0,0,0,0,0,0,1
355,36,4,0,0,6,40,1,0,0,0,0,0,0,1
356,26,3,0,0,9,40,0,0,0,1,0,0,0,1
357,27,3,0,0,13,40,1,0,0,0,0,0,0,1
358,48,5,0,0,9,40,1,0,0,0,0,0,0,1
359,66,7,0,0,13,8,1,0,0,0,0,0,0,1
360,46,5,8614,0,14,55,0,1,0,0,0,0,1,0
361,53,5,0,0,13,40,0,1,0,0,0,0,0,1
362,23,2,0,0,10,25,0,0,0,0,1,0,1,0
363,32,3,0,0,9,46,1,0,0,0,0,0,0,1
364,36,4,0,0,4,60,0,0,0,0,1,0,0,1
365,38,4,0,0,10,45,0,0,0,0,1,0,1,0
366,29,3,0,0,9,40,0,1,0,0,0,0,0,1
367,27,3,0,0,11,40,0,1,0,0,0,0,0,1
368,47,5,0,0,9,40,0,1,0,0,0,0,1,0
369,64,7,0,0,10,8,1,0,0,0,0,0,0,1
370,49,5,0,0,10,40,1,0,0,0,0,0,0,1
371,43,5,0,0,10,50,1,0,0,0,0,0,0,1
372,30,3,0,0,13,40,0,1,0,0,0,0,0,1
373,60,6,0,0,13,50,1,0,0,0,0,0,0,1
374,28,3,6849,0,13,50,0,0,0,1,0,0,0,1
375,27,3,0,0,12,35,0,1,0,0,0,0,1,0
376,51,5,0,0,14,50,1,0,0,0,0,0,0,1
377,21,2,0,0,9,40,0,0,0,1,0,0,0,1
378,23,2,0,0,10,14,0,0,0,1,0,0,1,0
379,17,1,0,0,5,9,0,0,0,1,0,0,0,1
380,29,3,0,0,13,40,0,0,0,1,0,0,1,0
381,53,5,0,0,13,40,0,0,0,0,1,0,1,0
382,32,3,0,0,9,40,1,0,0,0,0,0,0,1
383,61,7,0,0,9,99,0,0,1,0,0,0,1,0
384,33,3,3418,0,6,35,0,0,0,0,1,0,1,0
385,38,4,0,0,9,65,1,0,0,0,0,0,0,1
386,21,2,0,2205,9,40,0,0,0,1,0,0,0,1
387,40,4,4934,0,10,47,0,0,0,0,1,0,0,1
388,34,3,0,0,9,40,0,0,0,1,0,0,0,1
389,55,5,0,0,9,40,1,0,0,0,0,0,0,1
390,30,3,0,0,13,40,0,1,0,0,0,0,0,1
391,74,7,0,0,10,4,1,0,0,0,0,0,0,1
392,20,1,0,0,10,40,0,0,0,1,0,0,0,1
393,74,7,0,0,13,6,0,0,0,0,0,1,1,0
394,50,5,0,0,13,60,1,0,0,0,0,0,0,1
395,43,5,0,0,9,40,1,0,0,0,0,0,0,1
396,28,3,0,0,13,50,0,1,0,0,0,0,0,1
397,68,7,0,0,9,10,1,0,0,0,0,0,0,1
398,34,3,0,0,6,40,1,0,0,0,0,0,0,1
399,38,4,0,0,9,52,0,1,0,0,0,0,0,1
400,30,3,0,0,9,30,1,0,0,0,0,0,0,1
401,29,3,0,0,10,40,0,0,0,1,0,0,1,0
402,42,5,0,0,9,35,1,0,0,0,0,0,0,1
403,43,5,0,0,9,35,0,1,0,0,0,0,1,0
404,60,6,0,0,4,40,1,0,0,0,0,0,0,1
405,49,5,0,0,13,40,0,0,0,0,1,0,1,0
406,27,3,2202,0,9,40,0,1,0,0,0,0,1,0
407,43,5,0,0,9,40,0,1,0,0,0,0,0,1
408,36,4,0,1887,13,50,1,0,0,0,0,0,0,1
409,61,7,0,0,9,50,1,0,0,0,0,0,0,1
410,61,7,0,0,2,40,0,1,0,0,0,0,1,0
411,42,5,5178,0,10,40,1,0,0,0,0,0,0,1
412,37,4,0,0,10,40,1,0,0,0,0,0,0,1
413,20,1,0,0,10,30,0,0,0,1,0,0,1,0
414,27,3,0,0,13,99,0,0,0,1,0,0,1,0
415,25,2,0,0,13,40,0,1,0,0,0,0,1,0
416,41,5,0,0,9,62,1,0,0,0,0,0,0,1
417,24,2,0,0,9,25,0,0,0,0,0,1,1,0
418,55,5,0,0,4,60,1,0,0,0,0,0,0,1
419,42,5,99999,0,15,80,0,1,0,0,0,0,0,1
420,40,4,0,0,9,45,0,0,0,1,0,0,0,1
421,52,5,0,1902,13,40,1,0,0,0,0,0,0,1
422,35,3,0,0,13,16,0,0,0,0,1,0,1,0
423,44,5,0,0,13,40,1,0,0,0,0,0,0,1
424,51,5,7688,0,9,40,1,0,0,0,0,0,0,1
425,24,2,0,0,13,40,0,0,0,1,0,0,0,1
426,33,3,0,0,14,35,1,0,0,0,0,0,0,1
427,28,3,0,0,10,40,0,0,0,0,1,0,1,0
428,64,7,0,0,9,50,1,0,0,0,0,0,0,1
429,58,6,0,0,7,40,1,0,0,0,0,0,0,1
430,26,3,0,0,10,40,0,1,0,0,0,0,0,1
431,33,3,0,0,9,40,1,0,0,0,0,0,0,1
432,22,2,0,0,9,35,0,0,0,1,0,0,0,1
433,29,3,0,0,3,40,1,0,0,0,0,0,0,1
434,29,3,0,0,13,40,0,0,0,0,0,1,1,0
435,36,4,0,0,9,40,0,0,0,1,0,0,0,1
436,30,3,0,0,10,40,1,0,0,0,0,0,0,1
437,31,3,0,0,13,40,0,0,0,0,0,1,1,0
438,53,5,0,0,12,40,1,0,0,0,0,0,0,1
439,39,4,0,0,9,50,0,1,0,0,0,0,0,1
440,21,2,0,0,10,40,0,0,0,0,0,1,1,0
441,37,4,0,0,12,38,0,1,0,0,0,0,0,1
442,39,4,5455,0,13,60,0,0,0,0,1,0,1,0
443,28,3,0,0,13,50,1,0,0,0,0,0,0,1
444,31,3,0,0,10,34,1,0,0,0,0,0,0,1
445,46,5,0,0,12,36,1,0,0,0,0,0,0,1
446,21,2,0,0,7,40,1,0,0,0,0,0,0,1
447,39,4,7688,0,14,65,1,0,0,0,0,0,0,1
448,29,3,13550,0,13,35,0,1,0,0,0,0,1,0
449,33,3,0,0,9,20,1,0,0,0,0,0,0,1
450,35,3,0,0,12,44,0,1,0,0,0,0,1,0
451,20,1,0,0,3,40,0,0,1,0,0,0,0,1
452,33,3,0,0,9,60,1,0,0,0,0,0,0,1
453,28,3,2463,0,11,35,0,1,0,0,0,0,1,0
454,53,5,0,0,10,40,0,1,0,0,0,0,0,1
455,23,2,0,0,10,16,0,0,0,1,0,0,1,0
456,48,5,0,0,9,40,1,0,0,0,0,0,0,1
457,29,3,0,0,7,52,0,1,0,0,0,0,0,1
