no,age,education-num,marital-status,occupation,capital-gain,capital-loss,hours-per-week,relationship_ Husband,relationship_ Not-in-family,relationship_ Other-relative,relationship_ Own-child,relationship_ Unmarried,relationship_ Wife,sex_ Female,sex_ Male,race_ Amer-Indian-Eskimo,race_ Asian-Pac-Islander,race_ Black,race_ Other,race_ White
42,59,6,6,4,0,0,36,0,0,0,0,0,1,1,0,0,0,0,0,1
43,34,9,6,2,0,1902,60,1,0,0,0,0,0,0,1,0,0,0,0,1
44,44,13,4,4,0,0,50,0,1,0,0,0,0,0,1,0,0,0,0,1
45,49,9,1,0,0,0,40,0,1,0,0,0,0,0,1,0,0,0,0,1
46,36,10,0,4,0,0,60,0,1,0,0,0,0,1,0,0,0,0,0,1
47,32,9,0,1,0,0,40,0,0,1,0,0,0,0,1,0,0,1,0,0
48,23,10,0,1,0,0,12,0,1,0,0,0,0,1,0,0,0,0,0,1
49,30,10,0,1,0,0,40,0,0,0,0,1,0,1,0,0,0,1,0,0
50,46,9,4,2,0,0,40,0,1,0,0,0,0,1,0,0,0,0,0,1
51,19,9,0,0,0,0,40,0,1,0,0,0,0,0,1,0,0,0,0,1
52,34,13,0,2,99999,0,50,0,1,0,0,0,0,0,1,0,0,0,0,1
53,46,9,4,2,0,0,40,0,0,1,0,0,0,1,0,0,0,0,0,1
54,66,9,6,1,0,0,40,1,0,0,0,0,0,0,1,0,0,0,0,1
55,34,10,4,2,0,0,66,0,1,0,0,0,0,0,1,0,0,0,0,1
56,54,9,2,0,0,0,15,0,1,0,0,0,0,1,0,0,0,0,0,1
57,42,10,4,2,0,0,50,0,1,0,0,0,0,0,1,0,0,0,0,1
58,61,7,6,3,0,0,36,1,0,0,0,0,0,0,1,0,0,0,0,1
59,23,10,0,4,0,0,6,0,0,0,1,0,0,1,0,0,0,0,0,1
60,46,11,6,4,0,0,60,1,0,0,0,0,0,0,1,0,0,0,0,1
61,38,9,0,2,0,0,40,0,0,0,1,0,0,0,1,0,0,0,0,1
62,40,14,0,4,0,0,50,0,1,0,0,0,0,0,1,0,0,0,0,1
63,23,10,0,1,0,0,25,0,0,0,0,1,0,1,0,1,0,0,0,0
64,30,6,6,2,0,0,40,1,0,0,0,0,0,0,1,0,0,0,0,1
65,29,11,6,2,0,0,42,1,0,0,0,0,0,0,1,0,0,0,0,1
66,61,13,6,4,0,0,50,1,0,0,0,0,0,0,1,0,0,0,0,1
67,54,9,6,4,0,0,56,1,0,0,0,0,0,0,1,0,0,0,0,1
68,36,10,6,1,0,0,50,1,0,0,0,0,0,0,1,0,1,0,0,0
69,56,13,6,1,0,0,40,1,0,0,0,0,0,0,1,0,0,0,0,1
70,22,10,0,0,0,0,35,0,0,0,1,0,0,1,0,0,0,0,0,1
71,50,9,6,1,0,0,40,1,0,0,0,0,0,0,1,0,0,1,0,0
72,31,13,4,4,0,0,60,0,0,0,0,1,0,0,1,0,0,0,0,1
73,25,13,4,4,0,0,44,0,1,0,0,0,0,1,0,0,0,0,0,1
74,26,9,0,1,0,0,40,0,0,0,1,0,0,0,1,0,0,0,0,1
75,36,13,6,4,0,0,45,1,0,0,0,0,0,0,1,0,0,0,0,1
76,28,9,0,2,0,0,48,0,0,0,1,0,0,0,1,0,0,0,0,1
77,57,9,6,2,0,0,40,1,0,0,0,0,0,0,1,0,0,0,0,1
78,43,14,6,4,0,0,35,0,0,0,0,0,1,1,0,0,0,1,0,0
79,27,13,0,1,0,0,40,0,1,0,0,0,0,1,0,0,0,1,0,0
80,36,12,6,1,0,0,40,1,0,0,0,0,0,0,1,0,0,0,0,1
81,45,11,6,3,0,0,40,1,0,0,0,0,0,0,1,0,0,0,0,1
82,33,10,0,4,0,0,40,0,0,0,1,0,0,0,1,0,1,0,0,0
83,23,13,0,1,0,0,32,0,1,0,0,0,0,0,1,0,0,0,0,1
84,34,13,4,1,0,0,60,0,1,0,0,0,0,0,1,0,0,0,0,1
85,29,9,0,2,0,1138,40,0,0,0,0,1,0,1,0,0,0,1,0,0
86,47,13,6,4,0,0,40,1,0,0,0,0,0,0,1,0,0,0,1,0
87,21,9,0,1,0,0,35,0,0,0,1,0,0,0,1,0,1,0,0,0
88,41,9,0,2,3325,0,50,0,1,0,0,0,0,0,1,0,0,0,0,1
89,39,10,6,3,0,0,40,1,0,0,0,0,0,0,1,0,0,0,0,1
90,31,9,4,2,0,0,40,0,1,0,0,0,0,0,1,0,0,0,0,1
91,37,9,1,0,0,0,40,0,0,0,0,1,0,1,0,0,0,0,0,1
92,30,9,4,0,0,0,37,0,0,0,0,1,0,1,0,0,0,0,0,1
93,35,11,6,1,0,0,36,1,0,0,0,0,0,0,1,0,0,0,0,1
94,27,14,0,4,0,0,25,0,1,0,0,0,0,1,0,0,0,0,0,1
95,61,10,3,1,0,0,40,0,1,0,0,0,0,0,1,0,0,0,0,1
96,58,10,6,2,0,0,45,1,0,0,0,0,0,0,1,0,0,0,0,1
97,36,9,6,4,0,0,45,1,0,0,0,0,0,0,1,0,0,0,0,1
98,39,8,4,2,0,0,40,0,1,0,0,0,0,1,0,0,0,0,0,1
99,29,13,6,2,0,0,40,1,0,0,0,0,0,0,1,0,0,0,0,1
100,26,7,0,2,0,0,40,0,1,0,0,0,0,0,1,0,0,1,0,0
101,32,9,4,2,0,0,99,0,0,0,0,1,0,0,1,0,0,0,0,1
102,39,6,6,2,0,0,40,1,0,0,0,0,0,0,1,0,0,0,0,1
103,39,13,4,2,0,625,40,0,0,0,0,1,0,1,0,0,0,1,0,0
104,60,13,6,1,0,0,25,1,0,0,0,0,0,0,1,0,1,0,0,0
105,37,10,0,0,0,0,20,0,0,0,1,0,0,0,1,0,0,0,0,1
106,18,9,0,1,0,0,15,0,0,0,1,0,0,1,0,0,0,0,0,1
107,27,10,6,2,0,0,40,1,0,0,0,0,0,0,1,0,0,0,0,1
108,36,13,6,4,0,0,40,1,0,0,0,0,0,0,1,0,0,0,0,1
109,58,9,6,4,0,0,45,1,0,0,0,0,0,0,1,0,0,0,0,1
110,25,13,6,4,0,0,50,1,0,0,0,0,0,0,1,0,0,0,0,1
111,25,11,0,4,0,0,36,0,0,0,1,0,0,1,0,0,0,0,0,1
112,33,9,3,0,0,0,35,0,1,0,0,0,0,1,0,0,1,0,0,0
113,38,13,0,2,0,0,42,0,1,0,0,0,0,1,0,0,0,0,0,1
114,27,9,0,1,0,0,40,0,0,0,0,1,0,1,0,0,0,1,0,0
115,34,10,6,1,0,2057,40,0,0,0,0,0,1,1,0,0,0,0,0,1
116,39,10,6,2,3103,0,50,1,0,0,0,0,0,0,1,0,0,0,0,1
117,43,14,6,4,0,0,50,1,0,0,0,0,0,0,1,0,0,0,0,1
118,28,9,6,2,0,0,45,1,0,0,0,0,0,0,1,0,0,0,0,1
119,48,7,6,0,0,0,40,0,0,0,0,0,1,1,0,0,0,0,0,1
120,19,9,0,0,0,0,52,0,0,0,1,0,0,0,1,0,0,0,0,1
121,40,9,2,2,0,0,40,0,1,0,0,0,0,1,0,0,0,0,0,1
122,46,13,6,2,0,0,55,1,0,0,0,0,0,0,1,0,0,0,0,1
123,21,10,0,1,2174,0,40,0,1,0,0,0,0,0,1,0,0,0,1,0
124,50,13,0,2,0,0,32,0,0,0,0,1,0,1,0,0,0,0,0,1
125,36,9,4,0,0,0,40,0,0,0,0,1,0,1,0,0,0,0,0,1
126,24,9,6,1,0,0,40,1,0,0,0,0,0,0,1,0,0,0,0,1
127,38,13,6,4,0,0,50,1,0,0,0,0,0,0,1,0,0,1,0,0
128,62,10,0,2,8614,0,39,0,1,0,0,0,0,1,0,0,0,0,0,1
129,33,9,0,1,0,0,40,0,0,0,0,1,0,1,0,0,0,0,0,1
130,53,10,6,4,0,1887,40,0,0,0,0,0,1,1,0,0,1,0,0,0
131,39,13,4,4,27828,0,55,0,1,0,0,0,0,0,1,0,0,0,0,1
132,33,10,4,0,0,0,30,0,1,0,0,0,0,1,0,0,0,1,0,0
133,18,7,0,0,0,0,8,0,0,0,1,0,0,1,0,0,0,0,0,1
134,19,10,0,1,0,0,45,0,0,0,1,0,0,1,0,0,0,0,0,1
135,37,11,6,1,0,0,48,0,0,0,0,0,1,1,0,0,0,1,0,0
136,64,14,6,1,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,1
137,39,9,1,4,14344,0,40,0,1,0,0,0,0,0,1,0,0,0,0,1
138,41,9,6,2,0,0,40,1,0,0,0,0,0,0,1,0,0,0,0,1
139,24,13,0,4,0,0,40,0,0,0,0,1,0,0,1,0,0,0,0,1
140,39,13,6,1,0,0,40,0,0,0,0,0,1,1,0,0,1,0,0,0
141,47,11,6,1,0,0,45,1,0,0,0,0,0,0,1,0,0,0,0,1
142,61,6,6,2,0,0,50,1,0,0,0,0,0,0,1,0,0,0,0,1
143,36,10,2,1,0,0,40,0,0,0,0,1,0,1,0,0,0,1,0,0
144,56,14,6,4,15024,0,48,1,0,0,0,0,0,0,1,0,0,0,0,1
145,34,13,6,2,0,0,40,1,0,0,0,0,0,0,1,0,0,0,0,1
146,43,13,6,0,0,0,40,1,0,0,0,0,0,0,1,0,0,1,0,0
147,27,9,0,2,0,0,15,0,0,0,1,0,0,1,0,0,0,0,0,1
148,64,9,2,1,0,0,30,0,1,0,0,0,0,1,0,0,0,0,0,1
149,58,13,6,4,0,0,47,1,0,0,0,0,0,0,1,0,0,0,0,1
150,21,9,0,0,0,0,20,0,0,0,1,0,0,1,0,0,0,0,0,1
151,44,13,6,2,0,0,60,1,0,0,0,0,0,0,1,0,0,0,0,1
152,31,11,0,1,0,0,40,0,0,0,0,1,0,1,0,0,0,1,0,0
153,60,9,6,1,0,0,50,1,0,0,0,0,0,0,1,0,0,0,0,1
154,19,10,0,1,0,0,20,0,0,0,1,0,0,1,0,0,0,0,0,1
155,40,13,6,4,0,0,45,1,0,0,0,0,0,0,1,0,0,0,0,1
156,32,9,6,1,0,0,42,1,0,0,0,0,0,0,1,0,0,0,0,1
157,64,10,0,4,0,0,35,0,1,0,0,0,0,1,0,0,0,0,0,1
158,27,9,6,4,0,1848,45,1,0,0,0,0,0,0,1,0,0,0,0,1
159,59,13,2,4,0,0,40,0,1,0,0,0,0,1,0,0,0,0,0,1
160,60,10,4,1,0,0,40,0,1,0,0,0,0,1,0,0,0,0,0,1
161,47,15,6,4,15024,0,40,1,0,0,0,0,0,0,1,0,0,0,0,1
162,41,10,1,2,0,0,35,0,1,0,0,0,0,0,1,0,0,0,0,1
163,30,13,6,4,0,1977,50,1,0,0,0,0,0,0,1,0,0,0,0,1
164,57,9,6,2,0,1887,40,1,0,0,0,0,0,0,1,0,0,0,0,1
165,45,9,6,2,0,0,42,1,0,0,0,0,0,0,1,0,0,0,0,1
166,61,16,6,4,0,0,40,1,0,0,0,0,0,0,1,0,0,0,0,1
167,30,12,1,0,0,0,40,0,0,0,0,1,0,1,0,0,0,0,0,1
168,23,9,0,0,0,2339,45,0,1,0,0,0,0,0,1,0,0,0,0,1
169,43,10,4,1,0,0,40,0,0,0,0,1,0,1,0,0,0,0,0,1
170,54,15,6,4,0,0,40,1,0,0,0,0,0,0,1,0,0,0,0,1
171,53,4,3,0,0,0,45,0,0,0,0,1,0,1,0,0,0,0,0,1
172,68,9,6,3,0,0,24,1,0,0,0,0,0,0,1,0,0,0,0,1
173,39,9,6,2,0,0,50,1,0,0,0,0,0,0,1,0,0,0,0,1
174,47,9,6,1,0,0,20,0,0,0,0,0,1,1,0,0,0,0,0,1
175,36,9,6,1,0,0,40,1,0,0,0,0,0,0,1,0,0,0,0,1
176,26,13,1,2,0,0,40,0,1,0,0,0,0,1,0,0,0,0,0,1
177,32,9,6,2,0,0,60,1,0,0,0,0,0,0,1,0,0,0,0,1
178,36,13,6,3,0,1977,40,1,0,0,0,0,0,0,1,0,0,0,0,1
179,26,10,0,2,0,0,40,0,0,1,0,0,0,1,0,0,0,1,0,0
180,33,9,0,1,0,0,40,0,1,0,0,0,0,0,1,0,0,0,0,1
181,75,9,2,1,0,0,40,0,1,0,0,0,0,1,0,0,0,0,0,1
182,53,14,6,4,0,0,40,1,0,0,0,0,0,0,1,0,0,0,0,1
183,37,9,0,1,0,0,40,0,0,0,0,1,0,1,0,0,0,1,0,0
184,26,13,0,1,0,0,50,0,0,0,1,0,0,1,0,0,0,0,0,1
185,27,9,0,0,0,0,40,0,0,0,0,1,0,1,0,0,0,1,0,0
186,29,16,6,4,0,0,45,1,0,0,0,0,0,0,1,0,0,0,0,1
187,47,10,6,4,0,0,40,1,0,0,0,0,0,0,1,0,0,0,0,1
188,34,13,6,4,0,0,40,1,0,0,0,0,0,0,1,0,0,0,0,1
189,40,13,6,4,0,0,60,1,0,0,0,0,0,0,1,0,0,0,0,1
190,36,10,0,1,2463,0,40,0,1,0,0,0,0,0,1,0,0,0,0,1
191,34,5,1,1,0,0,40,0,0,0,0,1,0,0,1,0,0,1,0,0
192,43,13,6,4,0,0,45,1,0,0,0,0,0,0,1,0,0,0,0,1
193,32,9,6,2,0,0,40,1,0,0,0,0,0,0,1,0,0,0,0,1
194,19,9,0,0,0,0,40,0,0,0,1,0,0,0,1,0,0,1,0,0
195,18,9,0,2,0,0,30,0,1,0,0,0,0,1,0,0,0,1,0,0
196,20,9,0,4,0,0,40,0,0,1,0,0,0,1,0,0,0,0,0,1
197,51,10,6,2,0,0,40,1,0,0,0,0,0,0,1,0,0,0,0,1
198,19,9,0,0,0,0,20,0,0,0,1,0,0,1,0,0,0,0,0,1
199,28,11,0,2,0,0,40,0,1,0,0,0,0,1,0,0,0,0,0,1
200,25,6,0,0,0,1602,40,0,0,0,1,0,0,0,1,0,0,1,0,0
201,42,13,6,2,0,0,35,0,0,0,0,0,1,1,0,0,0,1,0,0
202,57,9,6,2,3137,0,40,1,0,0,0,0,0,0,1,0,0,0,0,1
203,39,14,0,4,0,0,40,0,0,0,1,0,0,1,0,0,0,0,0,1
204,18,10,0,1,594,0,15,0,0,0,1,0,0,1,0,0,0,0,0,1
205,46,9,6,2,0,0,65,1,0,0,0,0,0,0,1,0,0,0,0,1
206,18,9,0,2,0,0,20,0,1,0,0,0,0,1,0,0,0,0,0,1
207,28,12,6,0,0,0,40,1,0,0,0,0,0,0,1,0,0,1,0,0
208,28,10,0,2,0,0,24,0,0,0,1,0,0,1,0,0,0,0,0,1
209,44,14,6,4,0,0,54,1,0,0,0,0,0,0,1,0,0,0,0,1
210,40,14,6,4,0,1902,48,1,0,0,0,0,0,0,1,0,0,0,0,1
211,27,13,0,0,0,0,30,0,1,0,0,0,0,1,0,0,0,0,0,1
212,35,14,6,4,0,0,35,0,0,0,0,0,1,1,0,0,0,0,0,1
213,50,6,0,2,0,0,25,0,1,0,0,0,0,0,1,0,0,0,0,1
214,33,13,6,1,3103,0,60,0,0,0,0,0,1,1,0,0,0,0,0,1
215,45,14,6,4,0,0,40,1,0,0,0,0,0,0,1,0,0,0,0,1
216,44,13,0,1,0,0,37,0,0,0,1,0,0,1,0,0,0,0,0,1
217,31,14,6,2,0,0,40,1,0,0,0,0,0,0,1,0,0,0,0,1
218,47,9,6,1,0,0,35,1,0,0,0,0,0,0,1,0,0,0,0,1
219,73,9,2,1,0,0,65,0,1,0,0,0,0,1,0,0,0,0,0,1
220,42,10,6,2,0,0,89,1,0,0,0,0,0,0,1,0,0,0,0,1
221,41,10,4,2,0,0,40,0,1,0,0,0,0,0,1,0,0,0,0,1
222,31,13,6,1,0,0,40,1,0,0,0,0,0,0,1,0,0,0,0,1
223,26,13,0,1,0,0,32,0,0,0,1,0,0,1,0,0,0,1,0,0
224,20,10,0,1,0,0,60,0,0,0,1,0,0,0,1,0,0,0,0,1
225,33,9,0,0,0,0,40,0,1,0,0,0,0,0,1,0,0,1,0,0
226,49,11,0,1,0,0,60,0,1,0,0,0,0,1,0,0,0,0,0,1
227,25,13,0,2,0,0,40,0,1,0,0,0,0,1,0,0,0,0,0,1
228,20,9,0,1,0,0,40,0,1,0,0,0,0,1,0,0,0,0,0,1
229,32,9,6,4,0,0,50,0,0,0,0,0,1,1,0,0,0,0,0,1
230,45,9,6,0,0,1902,40,1,0,0,0,0,0,0,1,0,0,0,0,1
231,68,13,6,4,0,0,40,1,0,0,0,0,0,0,1,0,0,0,0,1
232,30,11,0,1,0,0,45,0,1,0,0,0,0,0,1,0,0,0,0,1
233,35,9,1,1,0,0,40,0,0,0,0,1,0,0,1,0,0,0,0,1
234,48,16,6,4,0,0,65,1,0,0,0,0,0,0,1,0,0,0,0,1
235,59,6,6,1,0,0,40,1,0,0,0,0,0,0,1,0,0,0,0,1
236,42,13,6,2,5178,0,45,1,0,0,0,0,0,0,1,0,0,0,0,1
237,24,13,0,4,0,0,40,0,1,0,0,0,0,1,0,0,0,0,1,0
238,35,9,6,1,0,0,40,1,0,0,0,0,0,0,1,0,0,0,0,1
239,23,10,0,4,0,0,40,0,0,0,1,0,0,1,0,0,0,0,0,1
240,54,14,4,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
241,18,8,0,0,0,0,32,0,0,0,1,0,0,1,0,0,0,0,0,1
242,63,13,6,2,0,0,50,1,0,0,0,0,0,0,1,0,0,0,0,1
243,69,15,6,1,0,0,34,1,0,0,0,0,0,0,1,0,0,0,0,1
244,34,10,0,2,0,0,40,0,1,0,0,0,0,0,1,0,0,0,0,1
245,25,12,0,2,0,0,30,0,1,0,0,0,0,0,1,0,0,0,0,1
246,18,7,0,0,0,0,15,0,0,0,1,0,0,0,1,0,0,0,0,1
247,25,9,4,0,0,0,40,0,0,0,1,0,0,1,0,0,0,0,0,1
248,72,14,6,2,0,0,30,1,0,0,0,0,0,0,1,0,0,0,0,1
249,39,13,6,4,0,0,50,1,0,0,0,0,0,0,1,0,0,0,0,1
250,31,9,6,2,0,0,50,1,0,0,0,0,0,0,1,0,0,0,0,1
251,30,13,6,2,0,0,55,1,0,0,0,0,0,0,1,0,0,0,0,1
252,58,9,6,2,0,0,60,1,0,0,0,0,0,0,1,0,0,0,0,1
253,63,10,1,1,0,0,37,0,0,1,0,0,0,1,0,0,0,1,0,0
254,38,9,6,0,0,0,40,1,0,0,0,0,0,0,1,0,0,0,0,1
255,25,10,0,2,2174,0,50,0,1,0,0,0,0,1,0,0,0,1,0,0
256,27,14,0,4,0,0,20,0,1,0,0,0,0,0,1,0,1,0,0,0
257,19,9,0,1,0,0,40,0,0,0,1,0,0,0,1,0,0,0,0,1
258,36,10,4,2,0,0,40,0,0,0,0,1,0,1,0,0,0,0,0,1
259,36,9,1,1,0,0,30,0,1,0,0,0,0,1,0,0,0,0,0,1
260,50,11,6,2,3103,0,55,1,0,0,0,0,0,0,1,0,0,0,0,1
261,35,9,0,1,8614,0,40,0,1,0,0,0,0,0,1,0,0,0,0,1
262,47,13,6,4,0,0,40,1,0,0,0,0,0,0,1,0,0,0,0,1
263,38,10,4,4,0,0,40,0,0,0,1,0,0,1,0,0,1,0,0,0
264,23,12,0,0,0,0,25,0,0,0,1,0,0,0,1,0,0,0,0,1
265,62,4,6,2,0,0,53,1,0,0,0,0,0,0,1,0,0,0,0,1
266,46,14,0,4,0,1564,45,0,1,0,0,0,0,1,0,0,0,0,0,1
267,50,10,6,2,0,0,40,1,0,0,0,0,0,0,1,0,0,0,0,1
268,39,14,4,4,0,0,40,0,1,0,0,0,0,1,0,0,0,0,0,1
269,35,7,6,2,0,0,35,1,0,0,0,0,0,0,1,0,0,0,0,1
270,34,13,3,1,0,0,25,0,1,0,0,0,0,1,0,0,0,0,0,1
271,28,11,6,1,0,0,80,1,0,0,0,0,0,0,1,0,0,0,0,1
272,53,4,0,2,0,0,40,0,1,0,0,0,0,0,1,1,0,0,0,0
273,45,13,6,1,0,0,45,1,0,0,0,0,0,0,1,0,0,0,0,1
274,40,15,6,2,5178,0,40,1,0,0,0,0,0,0,1,0,0,0,0,1
275,20,10,0,1,0,0,40,0,0,0,1,0,0,0,1,0,0,0,0,1
276,65,9,0,1,0,0,40,0,0,0,0,1,0,1,0,0,0,0,0,1
277,45,9,6,2,0,0,40,1,0,0,0,0,0,0,1,0,0,0,0,1
278,30,10,6,0,0,0,40,0,0,0,0,0,1,1,0,0,0,0,0,1
279,45,9,2,1,0,0,38,0,0,0,0,1,0,1,0,0,0,0,0,1
280,24,11,0,1,0,0,40,0,1,0,0,0,0,1,0,0,0,0,0,1
281,24,3,3,1,0,0,40,0,1,0,0,0,0,0,1,0,0,0,0,1
282,21,9,0,0,0,0,33,0,0,1,0,0,0,1,0,0,0,0,0,1
283,30,10,6,2,0,0,40,1,0,0,0,0,0,0,1,0,0,0,0,1
284,76,4,2,1,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,1
285,32,13,1,2,0,0,40,0,1,0,0,0,0,0,1,0,0,1,0,0
286,58,16,6,4,0,0,24,1,0,0,0,0,0,0,1,0,0,0,0,1
287,51,9,0,1,0,0,40,0,0,0,1,0,0,1,0,0,0,0,0,1
288,26,13,6,4,0,0,90,1,0,0,0,0,0,0,1,0,0,0,0,1
289,23,10,0,2,0,0,20,0,0,0,1,0,0,1,0,0,0,1,0,0
290,23,13,0,4,0,0,30,0,0,0,1,0,0,0,1,1,0,0,0,0
291,33,4,0,2,0,0,43,0,1,0,0,0,0,0,1,0,0,0,0,1
292,25,10,0,2,0,0,40,0,0,0,1,0,0,1,0,0,0,0,0,1
293,21,9,0,2,0,0,40,0,0,0,1,0,0,0,1,0,0,1,0,0
294,35,13,6,2,0,1977,65,1,0,0,0,0,0,0,1,0,0,0,0,1
295,29,13,0,2,3325,0,45,0,1,0,0,0,0,1,0,0,0,0,0,1
296,29,10,6,3,0,0,46,1,0,0,0,0,0,0,1,0,0,0,0,1
297,47,9,6,1,3942,0,40,1,0,0,0,0,0,0,1,0,0,0,0,1
298,36,9,6,2,0,0,40,1,0,0,0,0,0,0,1,0,0,0,0,1
299,51,13,6,4,0,0,50,1,0,0,0,0,0,0,1,0,0,0,0,1
300,19,8,0,0,0,0,16,0,0,0,1,0,0,0,1,0,0,0,0,1
301,39,11,6,1,0,0,20,0,0,0,0,0,1,1,0,0,0,0,0,1
302,26,10,0,0,0,0,50,0,1,0,0,0,0,1,0,0,0,0,0,1
303,28,13,0,4,0,0,40,0,1,0,0,0,0,1,0,0,0,0,0,1
304,34,11,6,4,0,0,40,1,0,0,0,0,0,0,1,0,0,0,0,1
305,25,13,0,2,0,0,40,0,0,0,1,0,0,1,0,0,0,0,0,1
306,25,13,0,2,0,0,36,0,0,0,1,0,0,1,0,0,0,0,0,1
307,32,10,6,4,0,0,45,1,0,0,0,0,0,0,1,0,0,0,0,1
308,52,10,0,2,0,0,40,0,1,0,0,0,0,1,0,0,0,0,0,1
309,20,10,0,2,0,0,50,0,1,0,0,0,0,1,0,0,0,0,0,1
310,19,10,0,1,0,0,50,0,0,0,1,0,0,0,1,0,0,0,0,1
311,57,6,6,0,0,0,40,1,0,0,0,0,0,0,1,0,0,0,0,1
312,22,9,0,0,0,0,40,0,0,0,1,0,0,0,1,0,0,0,0,1
313,50,16,4,4,0,0,60,0,1,0,0,0,0,1,0,0,0,0,0,1
314,46,14,6,4,0,0,45,1,0,0,0,0,0,0,1,0,0,0,0,1
315,56,9,6,2,0,0,40,1,0,0,0,0,0,0,1,0,0,0,0,1
316,52,15,6,4,0,0,40,1,0,0,0,0,0,0,1,0,0,0,0,1
317,39,9,6,1,0,0,40,1,0,0,0,0,0,0,1,0,0,0,0,1
318,37,9,6,2,0,0,45,1,0,0,0,0,0,0,1,0,0,0,0,1
319,23,9,0,2,0,0,30,0,0,0,1,0,0,0,1,0,0,0,0,1
320,43,9,4,3,0,0,40,0,0,0,0,1,0,1,0,0,0,0,0,1
321,31,11,6,0,0,0,45,1,0,0,0,0,0,0,1,0,0,0,0,1
322,40,9,6,1,0,0,40,1,0,0,0,0,0,0,1,0,0,0,0,1
323,26,13,0,2,0,0,40,0,1,0,0,0,0,0,1,0,0,0,0,1
324,25,13,0,2,0,0,40,0,1,0,0,0,0,0,1,0,0,0,0,1
