Id,Suburb,Address,Rooms,Type,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount,Price
4669,Pascoe Vale,1 Dorset Rd,2,h,S,YPA,23/04/2016,9.9,3044,2,1,1,602,,,Moreland,-37.724,144.9501,Northern Metropolitan,7485,630000
9318,Seddon,17 Tennyson St,3,h,SP,Biggin,3/06/2017,5.1,3011,3,1,0,198,124,1910,Maribyrnong,-37.80779,144.88887,Western Metropolitan,2417,1180000
8867,Maidstone,3/10 Greenham St,2,t,S,Jas,1/07/2017,6.4,3012,2,1,1,126,,,Maribyrnong,-37.78775,144.87446,Western Metropolitan,3873,520000
2907,Glenroy,44 Widford St,3,h,S,Stockdale,15/10/2016,13,3046,3,1,4,700,,,Moreland,-37.7022,144.924,Northern Metropolitan,8870,688000
7872,Footscray,47 Shepherd St,3,h,S,Greg,13/05/2017,6.4,3011,3,1,1,267,101,1900,Maribyrnong,-37.7951,144.8901,Western Metropolitan,7570,871000
3380,Ivanhoe,2/80 Marshall St,2,u,SP,Miles,12/11/2016,7.9,3079,2,1,1,0,,1960,Banyule,-37.7707,145.0471,Eastern Metropolitan,5549,475000
9505,Doncaster East,25 Canopus Dr,4,h,S,Barry,17/06/2017,14.3,3109,4,2,2,661,,,Manningham,-37.77956,145.16645,Eastern Metropolitan,10999,1504000
8135,Newport,14 Breadalbane Pl,3,h,SP,Williams,20/05/2017,8.4,3015,3,2,2,315,,,Hobsons Bay,-37.8496,144.8868,Western Metropolitan,5498,1410000
692,Balwyn North,2/3 Hatfield St,2,u,S,Fletchers,30/07/2016,9.2,3104,3,1,1,0,102,1968,Boroondara,-37.7938,145.0666,Southern Metropolitan,7809,691500
9526,Epping,10 Efficient St,3,h,S,Ray,17/06/2017,19.6,3076,3,2,2,420,190,2012,Whittlesea,-37.62145,145.01051,Northern Metropolitan,10926,568000
6165,Surrey Hills,34 Barton St,4,h,S,Nelson,22/05/2016,11.2,3127,3,2,2,632,,,Boroondara,-37.8173,145.1003,Southern Metropolitan,5457,1850000
1592,Camberwell,5 Cooloongatta Rd,3,h,SP,Marshall,16/04/2016,7.8,3124,3,2,0,584,213,1920,Boroondara,-37.8349,145.0758,Southern Metropolitan,8920,1800000
8221,Pascoe Vale,5/137 Northumberland Rd,3,t,S,Nelson,20/05/2017,9.9,3044,3,2,1,141,94,2009,Moreland,-37.7177,144.9328,Northern Metropolitan,7485,560000
11255,Windsor,27 Andrew St,2,h,SP,Biggin,12/08/2017,4.6,3181,2,2,0,70,,,Stonnington,-37.85143,144.98574,Southern Metropolitan,4380,865000
2644,Flemington,114 Shields St,2,h,SP,Nelson,22/05/2016,4.4,3031,2,1,0,165,,,Melbourne,-37.7847,144.9341,Northern Metropolitan,3593,957000
6416,Viewbank,37 Eamon Dr,3,h,S,Barry,4/06/2016,13.8,3084,3,2,2,577,135,1970,Banyule,-37.7376,145.0895,Eastern Metropolitan,2698,770000
8491,West Footscray,17 Braid St,2,h,VB,Sweeney,8/04/2017,8.2,3012,2,1,1,452,,1950,Maribyrnong,-37.804,144.8772,Western Metropolitan,5058,650000
11099,Kingsville,182 Williamstown Rd,3,h,SP,Jas,12/08/2017,6.4,3012,3,1,1,275,11,1936,Maribyrnong,-37.81167,144.88346,Western Metropolitan,1808,900000
12459,Burwood,15 Wattlebird Ct,4,h,S,Fletchers,9/09/2017,10.4,3125,4,2,4,514,258,2000,,-37.84248,145.10181,Southern Metropolitan,5678,1750000
5093,Reservoir,3/66 Darebin Bvd,2,u,S,Darren,10/12/2016,11.2,3073,2,1,1,184,77,1965,Darebin,-37.7043,145.0277,Northern Metropolitan,21650,401000
1291,Brunswick,87 Hope St,3,t,S,Nelson,11/02/2017,5.2,3056,3,2,2,327,110,2007,Moreland,-37.7636,144.9559,Northern Metropolitan,11918,955000
13219,Kew,16 Scott St,2,h,S,hockingstuart,23/09/2017,5.4,3101,2,1,0,284,88,1920,,-37.81202,145.04217,Southern Metropolitan,10331,1630000
12132,Reservoir,9 Darebin Bvd,4,h,S,Barry,29/07/2017,12,3073,4,1,2,870,,,Darebin,-37.70433,145.02068,Northern Metropolitan,21650,905000
9063,Brunswick East,7/2 Albion St,2,u,S,McGrath,3/06/2017,4,3057,2,1,1,0,,1980,Moreland,-37.7631,144.98138,Northern Metropolitan,5533,570000
11515,Sunshine,18 Benjamin St,3,h,PI,Jas,15/07/2017,10.5,3020,3,1,3,446,126,1910,Brimbank,-37.79354,144.8328,Western Metropolitan,3755,860000
1089,Brighton,5 Bridge St,3,h,S,Hodges,12/11/2016,11.2,3186,3,2,1,354,143,1910,Bayside,-37.8916,145.0017,Southern Metropolitan,10579,1650000
12585,Prahran,22 Irving Av,3,h,S,hockingstuart,9/09/2017,4.6,3181,3,1,0,435,200,1966,,-37.85793,145.00734,Southern Metropolitan,7717,1650000
12757,Keilor,6 Riverside Av,3,h,S,Barry,16/09/2017,14.5,3036,3,2,2,725,225,1970,,-37.72465,144.8359,Western Metropolitan,2339,840000
13074,Werribee,29 Briardale Dr,3,h,S,hockingstuart,19/08/2017,14.7,3030,3,2,2,536,141,1990,,-37.90419,144.63761,Western Metropolitan,16166,490000
1044,Brighton,2/26 Pearson St,2,u,SP,Hodges,3/12/2016,11.2,3186,2,1,2,0,70,1970,Bayside,-37.9081,145.0043,Southern Metropolitan,10579,536000
8281,Preston,460 Bell St,2,h,PI,Barry,29/04/2017,8.8,3072,2,1,1,319,,1955,Darebin,-37.7442,144.9958,Northern Metropolitan,14577,630000
4127,Moonee Ponds,13/9 The Strand,3,u,SP,Brad,24/09/2016,6.9,3039,3,1,1,0,,,Moonee Valley,-37.7606,144.9236,Western Metropolitan,6232,650000
412,Ashwood,18 Montrose St,2,h,VB,Jellis,4/06/2016,12.2,3147,2,1,2,695,114,1950,Monash,-37.8694,145.0944,Southern Metropolitan,2894,1075000
8888,Mordialloc,108 Chute St,4,h,S,O'Brien,1/07/2017,21.5,3195,4,2,2,893,,,Kingston,-37.99991,145.09417,South-Eastern Metropolitan,3650,1225000
13078,West Footscray,24 Oxford St,3,h,VB,GL,19/08/2017,6.4,3012,3,1,1,160,,,,-37.79219,144.87575,Western Metropolitan,5058,675000
7605,Brunswick,25/5 Evans St,3,t,SP,Nelson,13/05/2017,5.2,3056,3,2,1,122,140,2012,Moreland,-37.7698,144.9661,Northern Metropolitan,11918,981000
7908,Glenroy,1/217 West St,5,t,S,Barry,20/05/2017,13,3046,5,1,1,227,152,2013,Moreland,-37.6979,144.941,Northern Metropolitan,8870,645000
4905,Preston,65 Albert St,3,h,S,hockingstuart,8/10/2016,8.8,3072,3,1,2,493,87,1950,Darebin,-37.7441,145.0221,Northern Metropolitan,14577,615000
198,Altona North,1/256 Mason St,2,t,S,Williams,11/03/2017,11.1,3025,2,1,1,252,,1965,Hobsons Bay,-37.8397,144.8602,Western Metropolitan,5132,640000
1132,Brighton,48 Were St,3,u,S,Marshall,22/08/2016,11.2,3186,3,2,0,0,,,Bayside,-37.9249,144.9928,Southern Metropolitan,10579,1250000
9444,Brighton,2/14 Brickwood St,2,u,PI,Buxton,17/06/2017,10.5,3186,2,1,1,106,,,Bayside,-37.89571,144.99796,Southern Metropolitan,10579,855000
10135,Bentleigh East,81 Marlborough St,3,h,S,Buxton,27/05/2017,13.8,3165,3,2,2,614,197,1950,Glen Eira,-37.91068,145.06802,Southern Metropolitan,10969,1430000
9962,Moonee Ponds,4/342 Ascot Vale Rd,1,u,PI,Nelson,24/06/2017,6.2,3039,1,1,1,114,42.2,1970,Moonee Valley,-37.76911,144.92472,Western Metropolitan,6232,286000
4577,Parkville,14/18 Lennon St,1,u,S,Jellis,8/10/2016,2.6,3052,1,1,1,0,,,Melbourne,-37.7864,144.9409,Northern Metropolitan,2309,352500
8026,Keilor East,12 Hilltop Ct,2,t,SP,Nelson,29/04/2017,12.8,3033,2,2,2,55,,,Moonee Valley,-37.7388,144.8767,Western Metropolitan,5629,570000
8116,Murrumbeena,4/12 Dalny Rd,2,u,SP,Buxton,20/05/2017,12.1,3163,2,1,1,0,,,Glen Eira,-37.9025,145.066,Southern Metropolitan,4442,490000
10597,Brooklyn,3/49 Stenhouse Av,2,u,SP,hockingstuart,8/07/2017,6.4,3012,2,1,2,159,140,2012,Hobsons Bay,-37.82073,144.8447,Western Metropolitan,962,515000
12215,Alphington,22 Harker St,4,h,S,Love,3/09/2017,5.7,3078,4,3,2,720,,,,-37.77928,145.02993,Northern Metropolitan,2211,1680000
9902,Greenvale,13 Ambleside Rd,3,h,PI,YPA,24/06/2017,20.4,3059,3,2,2,775,,,Hume,-37.64385,144.89221,Northern Metropolitan,4864,770000
10887,Altona,41 Maidstone St,3,u,SP,Barlow,12/08/2017,11,3018,3,2,1,305,132,2005,Hobsons Bay,-37.871,144.81153,Western Metropolitan,5301,767000
3102,Hampton East,4 Besant St,3,h,S,Hodges,19/11/2016,14.5,3188,3,1,3,583,106,1970,Bayside,-37.9428,145.0296,Southern Metropolitan,2356,1070000
6077,Sunshine West,1 Joan St,3,h,S,Douglas,17/09/2016,13.5,3020,3,1,2,686,,,Brimbank,-37.7901,144.8068,Western Metropolitan,6763,575000
1230,Brighton East,1 Marriage Rd,4,h,S,hockingstuart,22/05/2016,10.7,3187,4,2,2,732,,,Bayside,-37.9184,145.007,Southern Metropolitan,6938,1815000
10610,Camberwell,5/26 Cornell St,2,u,S,hockingstuart,8/07/2017,7.7,3124,2,1,1,92,82.6,1960,Boroondara,-37.8401,145.09113,Southern Metropolitan,8920,755000
4870,Prahran,38a Chomley St,2,h,S,Kay,28/08/2016,4.5,3181,2,1,1,175,,,Stonnington,-37.857,145.0058,Southern Metropolitan,7717,1021000
7098,Kingsville,134 Chirnside St,3,h,S,Jas,4/06/2016,7.8,3012,2,2,2,269,123,1915,Maribyrnong,-37.8108,144.8819,Western Metropolitan,1808,1155000
575,Balwyn,112 Belmore Rd,5,h,PI,Jellis,28/05/2016,9.7,3103,5,3,2,715,420,2009,Boroondara,-37.8028,145.0768,Southern Metropolitan,5682,3020000
7551,Braybrook,30 Shepherd St,3,h,SP,Village,29/04/2017,10.8,3019,3,1,3,586,,,Maribyrnong,-37.783,144.855,Western Metropolitan,3589,730000
8297,Reservoir,3/138 Rathcown Rd,3,t,S,Barry,8/04/2017,11.2,3073,3,2,2,213,1,2012,Darebin,-37.7085,145.018,Northern Metropolitan,21650,815000
3335,Hughesdale,14 Bowmore St,4,h,S,Ray,12/11/2016,13,3166,4,2,2,545,180,1940,Monash,-37.9002,145.0773,Southern Metropolitan,3145,1700000
5913,Strathmore,11/2 Mascoma St,2,h,S,Considine,23/04/2016,9.7,3041,2,1,1,151,,,Moonee Valley,-37.7296,144.9234,Western Metropolitan,3284,535000
1833,Caulfield South,1 Rotorua St,2,h,S,Gary,7/05/2016,9.3,3162,2,1,1,0,,,Glen Eira,-37.9002,145.027,Southern Metropolitan,5051,1012000
13099,Ashburton,3A Crete Av,3,h,S,Jellis,23/09/2017,10.2,3147,3,1,3,407,93,1955,,-37.8696,145.0866,Southern Metropolitan,3052,1210000
7706,Carnegie,3/9 Poplar Gr,1,u,S,Woodards,8/04/2017,11.4,3163,1,1,1,0,46,1960,Glen Eira,-37.8858,145.0632,Southern Metropolitan,7822,305000
7550,Braybrook,10 Sedge Cl,4,h,S,Nelson,22/04/2017,10.8,3019,4,3,2,475,319,2002,Maribyrnong,-37.7759,144.8552,Western Metropolitan,3589,1000000
12333,Hoppers Crossing,2 Jasmine Cl,5,h,SA,hockingstuart,3/09/2017,18.4,3029,5,2,2,650,,,,-37.85638,144.70671,Western Metropolitan,13830,610000
3367,Ivanhoe,1 Rocke St,4,h,S,Nelson,7/11/2016,7.9,3079,4,1,1,586,,,Banyule,-37.7726,145.0396,Eastern Metropolitan,5549,1300000
8806,Fairfield,60 Station St,3,h,S,Jellis,1/07/2017,5.7,3078,3,2,0,478,,,Darebin,-37.78022,145.01771,Northern Metropolitan,2970,1550000
9221,Malvern East,7 Nyora St,3,h,S,Marshall,3/06/2017,8.4,3145,3,2,2,531,,,Stonnington,-37.86749,145.05122,Southern Metropolitan,8801,2265000
6032,Sunshine North,16 Ball St,3,h,S,GL,15/10/2016,13.3,3020,3,1,1,668,,,Brimbank,-37.7661,144.84,Western Metropolitan,4217,725000
11637,Craigieburn,70 Penhall Dr,3,h,S,Ray,22/07/2017,20.6,3064,3,2,2,350,161,2014,Hume,-37.56883,144.90887,Northern Metropolitan,15510,510000
7138,Murrumbeena,199 Poath Rd,2,h,S,hockingstuart,15/10/2016,12.1,3163,2,1,2,313,,,Glen Eira,-37.898,145.0759,Southern Metropolitan,4442,910500
681,Balwyn North,23A The Boulevard,5,h,S,Marshall,27/11/2016,9.2,3104,5,3,2,900,355,1955,Boroondara,-37.7868,145.0677,Southern Metropolitan,7809,1920000
5734,Southbank,125/173 City Rd,1,u,VB,Greg,16/04/2016,1.2,3006,1,1,1,0,57,2004,Melbourne,-37.8245,144.9622,Southern Metropolitan,8400,425000
4162,Moorabbin,1/4 Grandview Gr,3,u,S,hockingstuart,7/11/2016,14.6,3189,3,1,2,313,,,Kingston,-37.9449,145.0459,Southern Metropolitan,2555,931000
5798,St Kilda,7 Robe St,3,h,S,Marshall,10/09/2016,6.1,3182,3,2,0,367,,1868,Port Phillip,-37.8658,144.9766,Southern Metropolitan,13240,2720000
1136,Brighton,114A Bay St,2,t,S,Hodges,25/02/2017,11.2,3186,2,2,2,201,,,Bayside,-37.905,144.9959,Southern Metropolitan,10579,1230000
537,Balwyn,18 Fitzgerald St,4,h,S,Kay,10/12/2016,9.7,3103,4,3,4,1148,,,Boroondara,-37.8088,145.0991,Southern Metropolitan,5682,3180000
10292,Glen Iris,42 Martin Rd,3,h,S,J,27/05/2017,7.3,3146,3,2,2,409,,,Boroondara,-37.84965,145.05904,Southern Metropolitan,10412,1500000
11739,Melton South,39 First Av,3,h,S,Ray,22/07/2017,29.8,3338,3,1,2,592,,,Melton,-37.70056,144.57125,Western Victoria,4718,412250
10899,Balwyn North,45A Helston St,4,h,VB,hockingstuart,12/08/2017,9.7,3104,4,2,2,433,185,1955,Boroondara,-37.78368,145.09545,Southern Metropolitan,7809,1460000
8855,Keysborough,15 Daylily Dr,4,h,S,Ray,1/07/2017,25.2,3173,4,2,2,576,,,Greater Dandenong,-38.00293,145.16465,South-Eastern Metropolitan,8459,965000
39,Airport West,50 Bedford St,3,h,VB,Nelson,3/12/2016,13.5,3042,3,2,1,0,145,1965,Moonee Valley,-37.7203,144.8755,Western Metropolitan,3464,730000
12620,Wantirna South,127 Fraser Cr,6,h,S,Biggin,9/09/2017,14.7,3152,6,3,3,754,,,,-37.88153,145.23003,Eastern Metropolitan,7082,1155000
3480,Keilor East,83 Wyong St,3,h,S,Barry,18/06/2016,12.8,3033,3,1,2,606,141,1965,Moonee Valley,-37.7311,144.8663,Western Metropolitan,5629,785000
10767,Mount Waverley,45 Oakern St,3,h,VB,Jellis,8/07/2017,14.2,3149,3,1,2,288,,,Monash,-37.88598,145.1229,Eastern Metropolitan,13366,850000
10246,Eltham North,45 Parry Rd,4,h,SP,Buckingham,27/05/2017,18,3095,4,3,2,792,233,1995,Nillumbik,-37.68966,145.14649,Eastern Metropolitan,2346,895000
12438,Attwood,2 Herod Pl,3,h,SP,YPA,9/09/2017,16.5,3049,3,2,2,607,,,,-37.67379,144.89826,Northern Metropolitan,1130,640000
9883,Frankston,5 Almora Cl,3,h,S,O'Brien,24/06/2017,38,3199,3,2,2,571,,,Frankston,-38.14444,145.16788,South-Eastern Metropolitan,17055,545000
3051,Hampton,3/308 Hampton St,2,u,S,hockingstuart,14/05/2016,13.7,3188,2,3,2,245,,,Bayside,-37.9442,145.0016,Southern Metropolitan,5454,742000
8080,Melbourne,601/616 Little Collins St,4,u,VB,hockingstuart,8/04/2017,2.8,3000,4,2,1,0,213,1938,Melbourne,-37.8177,144.9544,Northern Metropolitan,17496,1850000
9483,Cheltenham,28 Regent Pde,3,h,S,O'Brien,17/06/2017,17.9,3192,3,1,2,627,,,Kingston,-37.95668,145.06458,Southern Metropolitan,9758,1170000
11554,Yarraville,220 Roberts St,3,h,S,Jas,15/07/2017,6.3,3013,3,1,2,451,,,Maribyrnong,-37.81796,144.8681,Western Metropolitan,6543,1005000
13239,Mount Waverley,8 Susan Ct,4,h,S,Jellis,23/09/2017,14.2,3149,4,2,2,692,179,1970,,-37.86445,145.12538,Eastern Metropolitan,13366,1408000
2394,Essendon,124c Hoffmans Rd,3,t,S,Frank,15/10/2016,8,3040,3,1,2,190,142,1999,Moonee Valley,-37.7418,144.8918,Western Metropolitan,9264,720000
2546,Fitzroy,107 Cecil St,2,h,S,Nelson,24/09/2016,1.6,3065,2,1,1,157,110,1900,Yarra,-37.7941,144.98,Northern Metropolitan,5825,1300000
3243,Heidelberg Heights,6/34 Bonar St,3,t,S,Nelson,11/02/2017,10.5,3081,3,2,2,250,125,2012,Banyule,-37.7449,145.0523,Eastern Metropolitan,2947,706750
12666,Brunswick,4/831 Park St,1,u,VB,Nelson,16/09/2017,5.2,3056,1,1,0,1250,,,,-37.77685,144.95188,Northern Metropolitan,11918,170000
4457,Northcote,79 Christmas St,2,h,S,Barry,18/06/2016,5.5,3070,2,1,3,453,93,1920,Darebin,-37.7666,145.0132,Northern Metropolitan,11364,1170000
3082,Hampton,3/56 Beach Rd,2,u,S,Buxton,26/07/2016,13.7,3188,2,1,2,3414,,,Bayside,-37.9395,145.0001,Southern Metropolitan,5454,738000
9852,Croydon,22 Hull Rd,3,h,VB,McGrath,24/06/2017,23,3136,3,2,2,815,,,Maroondah,-37.7969,145.29274,Eastern Metropolitan,11925,720000
9432,Bentleigh East,52 Paloma St,4,h,PI,hockingstuart,17/06/2017,13.8,3165,4,2,2,566,191,1950,Glen Eira,-37.91503,145.07997,Southern Metropolitan,10969,1330000
6757,Bellfield,305 Bell St,3,h,SP,Nelson,22/05/2016,9.5,3081,3,1,2,631,109,1950,Banyule,-37.7506,145.043,Eastern Metropolitan,790,645000
10330,Heidelberg,3/62 Darebin St,2,t,S,Miles,27/05/2017,8.9,3084,2,1,2,154,107,1985,Banyule,-37.75343,145.06328,Eastern Metropolitan,2890,738000
8900,North Melbourne,187 Errol St,2,h,S,Alexkarbon,1/07/2017,1.8,3051,2,1,0,91,2,,Melbourne,-37.80037,144.94981,Northern Metropolitan,6821,962000
792,Bentleigh East,19 Denver St,5,h,SP,Buxton,3/12/2016,13.9,3165,5,2,2,683,190,1960,Glen Eira,-37.9333,145.0602,Southern Metropolitan,10969,1275000
2188,Doncaster,3/11 Frank St,4,t,S,Ray,27/11/2016,13.9,3108,4,2,2,234,160,2009,Manningham,-37.7932,145.1275,Eastern Metropolitan,9028,973500
12557,Middle Park,136 Page St,5,h,S,Marshall,9/09/2017,3,3206,5,2,1,553,308,1920,,-37.84908,144.95753,Southern Metropolitan,2019,6400000
3975,Maribyrnong,3/4 Navigator St,2,u,S,Woodards,30/07/2016,8.7,3032,2,1,1,0,,1970,Maribyrnong,-37.7689,144.8981,Western Metropolitan,4918,330000
3733,Maidstone,3/20 Burns St,3,u,PI,Burnham,10/12/2016,9.2,3012,3,2,2,184,184,,Maribyrnong,-37.7868,144.8772,Western Metropolitan,3873,520000
652,Balwyn North,9 Seattle St,4,h,S,Fletchers,18/03/2017,9.2,3104,4,2,2,667,201,1974,Boroondara,-37.7835,145.0883,Southern Metropolitan,7809,1675000
9563,Glenroy,200 West St,4,h,S,Eview,17/06/2017,11.2,3046,4,1,3,697,133,1960,Moreland,-37.70159,144.93948,Northern Metropolitan,8870,780000
11434,Mill Park,14 Malua Cr,3,h,S,Love,15/07/2017,17.9,3082,3,2,2,615,132,1982,Whittlesea,-37.67519,145.06201,Northern Metropolitan,10529,726000
8045,Kew East,3/1230 Old Burke Rd,3,t,S,hockingstuart,22/04/2017,7.5,3102,3,2,2,270,,,Boroondara,-37.7864,145.0631,Southern Metropolitan,2671,1205000
6194,Templestowe Lower,41 Dellfield Dr,4,h,S,Barry,3/12/2016,13.8,3107,4,2,4,673,170,1972,Manningham,-37.7647,145.1246,Eastern Metropolitan,5420,1165000
8957,Sunbury,11 Bannermann St,4,h,S,Raine,1/07/2017,31.7,3429,4,2,2,613,221,2011,Hume,-37.59501,144.70069,Western Metropolitan,14092,580000
11605,Broadmeadows,39 Blair St,1,h,VB,Stockdale,22/07/2017,14,3047,1,1,1,1312,,,Hume,-37.6821,144.92773,Northern Metropolitan,4294,1100000
9779,Ascot Vale,18A Middle St,3,t,S,Jellis,24/06/2017,4.3,3032,3,2,2,198,,,Moonee Valley,-37.7771,144.92793,Western Metropolitan,6567,1200000
994,Box Hill,7/12 Oxford St,1,u,SP,Lindellas,18/03/2017,13.1,3128,1,1,1,29,,,Whitehorse,-37.8215,145.1214,Eastern Metropolitan,4605,340000
2790,Glen Iris,115 Tooronga Rd,2,h,SP,Jellis,12/11/2016,9.2,3146,2,1,0,251,,1910,Stonnington,-37.8627,145.0402,Southern Metropolitan,10412,1020000
6380,Toorak,719a Malvern Rd,3,h,SP,Biggin,16/04/2016,4.6,3142,3,1,1,266,,,Stonnington,-37.8493,145.0134,Southern Metropolitan,7217,1300000
3244,Heidelberg Heights,18 Shelley St,2,h,S,Ray,12/06/2016,10.5,3081,2,1,1,428,84,1950,Banyule,-37.7418,145.0513,Eastern Metropolitan,2947,584000
8718,Travancore,456/38 Mt Alexander Rd,2,u,SP,Pagan,20/05/2017,5.3,3032,2,1,1,0,51,2010,Moonee Valley,-37.7847,144.9383,Western Metropolitan,1052,360000
2246,Elsternwick,3 Clarence St,4,h,PI,Biggin,22/08/2016,8.5,3185,4,2,2,376,192,1917,Glen Eira,-37.892,145.008,Southern Metropolitan,4898,1450000
8659,North Melbourne,649 Queensberry St,2,h,S,JMRE,29/04/2017,2.3,3051,2,1,0,89,65,1890,Melbourne,-37.9394,145.089,Northern Metropolitan,6821,940000
2000,Coburg,37 Kelson St,3,h,SP,Brad,25/02/2017,7.8,3058,3,1,1,138,102,2000,Moreland,-37.7406,144.9555,Northern Metropolitan,11204,700000
10530,Surrey Hills,462 Whitehorse Rd,3,h,SA,Woodards,27/05/2017,10.2,3127,3,1,2,665,,,Boroondara,-37.81455,145.0943,Southern Metropolitan,5457,1620000
6234,Templestowe Lower,62 Hodgson St,5,h,S,Barry,26/07/2016,13.8,3107,5,4,2,646,360,2016,Manningham,-37.7625,145.1043,Eastern Metropolitan,5420,2080000
4334,Niddrie,8 Rutland St,3,h,PI,Barry,30/07/2016,11.2,3042,3,1,1,645,,,Moonee Valley,-37.736,144.8809,Western Metropolitan,2291,960000
12270,Croydon Hills,5 Tavistock Ct,3,h,S,Hoskins,3/09/2017,23,3136,3,2,2,899,,,,-37.78028,145.26581,Eastern Metropolitan,1705,931000
3385,Ivanhoe,33 Livingstone St,3,h,S,Miles,15/10/2016,7.9,3079,3,1,2,691,140,1950,Banyule,-37.7674,145.0392,Eastern Metropolitan,5549,1535000
10091,Windsor,16 Wrexham Rd,3,h,PI,Kay,24/06/2017,4.6,3181,3,2,2,754,177.8,1905,Stonnington,-37.85679,145.00089,Southern Metropolitan,4380,2080000
9132,Eltham,6 Grove St,4,h,S,Morrison,3/06/2017,18,3095,4,1,2,1005,,,Nillumbik,-37.71119,145.15333,Eastern Metropolitan,6990,975000
7651,Bulleen,4/62 Manningham Rd,4,t,SP,Barry,6/05/2017,11.8,3105,4,2,2,190,133,2000,Manningham,-37.7664,145.0884,Eastern Metropolitan,4480,910000
2783,Glen Iris,1/39 Scott Gr,1,u,S,RT,10/12/2016,9.2,3146,1,1,1,63,52,1980,Stonnington,-37.8552,145.05,Southern Metropolitan,10412,452000
9349,Thomastown,46 Lincoln Dr,3,h,PI,Harcourts,3/06/2017,15.3,3074,3,1,2,525,,,Whittlesea,-37.68484,145.0072,Northern Metropolitan,7955,580000
7487,Balwyn North,25 Rookwood St,2,h,S,Noel,8/04/2017,9.2,3104,2,1,2,667,130,1955,Boroondara,-37.7926,145.0842,Southern Metropolitan,7809,1900000
4312,Niddrie,26 Nolan St,3,h,S,Barry,16/04/2016,11.2,3042,3,1,1,654,,,Moonee Valley,-37.7412,144.8888,Western Metropolitan,2291,1076000
8283,Preston,72 McNamara St,3,h,S,Nelson,29/04/2017,8.8,3072,3,1,2,575,,,Darebin,-37.7288,144.9849,Northern Metropolitan,14577,1055000
10574,Avondale Heights,6 Ridley Av,3,h,PI,Harcourts,8/07/2017,9.5,3034,3,1,1,582,110,1965,Moonee Valley,-37.76063,144.8603,Western Metropolitan,4502,720000
11871,Yarraville,55 Simpson St,2,h,SP,Jas,22/07/2017,6.3,3013,2,1,0,197,,,Maribyrnong,-37.81736,144.89133,Western Metropolitan,6543,1044000
9943,Lalor,1 Howell St,3,h,S,Harcourts,24/06/2017,16.3,3075,3,1,1,364,165,1985,Whittlesea,-37.67122,145.01487,Northern Metropolitan,8279,560000
1569,Camberwell,3/926 Toorak Rd,2,u,SP,Noel,4/06/2016,7.8,3124,2,1,1,136,,1960,Boroondara,-37.8469,145.0589,Southern Metropolitan,8920,717000
10470,Prahran,15A Percy St,2,h,PI,Kay,27/05/2017,4.6,3181,2,2,2,86,,,Stonnington,-37.85064,144.99095,Southern Metropolitan,7717,1170000
12036,Highett,1/12 Jillian Av,3,t,S,Charlton,29/07/2017,16,3190,3,1,2,269,125,2000,Bayside,-37.94775,145.02379,Southern Metropolitan,4794,1200000
12623,Werribee,1 Scott St,4,h,S,hockingstuart,9/09/2017,14.7,3030,4,2,2,556,177,2001,,-37.89463,144.66857,Western Metropolitan,16166,621000
