PassengerId,Age,Cabin_A,Cabin_B,Cabin_C,Cabin_D,Cabin_E,Cabin_F,Cabin_G,Cabin_M,Cabin_T,Embarked_C,Embarked_Q,Embarked_S,Family,Family_cut_Alone,Family_cut_Large,Family_cut_Samll,Fare,Parch,Pclass,Sex_female,Sex_male,SibSp,Title_Master,Title_Miss,Title_Mr,Title_Mrs,Title_Other
13,20.0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,-0.277362968609244,0,3,0,1,0,0,0,1,0,0
14,39.0,0,0,0,0,0,0,0,1,0,0,0,1,6,0,1,0,0.7285011433719076,5,3,0,1,1,0,0,1,0,0
15,14.0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,-0.2858429769246761,0,3,1,0,0,0,1,0,0,0
16,55.0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0.06694788995911578,0,2,1,0,0,0,0,0,1,0
17,2.0,0,0,0,0,0,0,0,1,0,0,1,0,5,0,1,0,0.6353856281615965,1,3,0,1,4,1,0,0,0,0
18,30.0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,-0.06298073591573695,0,2,0,1,0,0,0,1,0,0
19,31.0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0.15356697387568427,0,3,1,0,1,0,0,0,1,0
20,21.5,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,-0.31309334072482853,0,3,1,0,0,0,0,0,1,0
21,35.0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0.5000433095419583,0,2,0,1,0,0,0,1,0,0
22,34.0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,-0.06298073591573695,0,2,0,1,0,0,0,1,0,0
23,15.0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,-0.27826380708197634,0,3,1,0,0,0,1,0,0,0
24,28.0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.9114839581456586,0,1,0,1,0,0,0,1,0,0
25,8.0,0,0,0,0,0,0,0,1,0,0,0,1,4,0,1,0,0.2867438153974083,1,3,1,0,3,0,1,0,0,0
26,38.0,0,0,0,0,0,0,0,1,0,0,0,1,6,0,1,0,0.7333734668422146,5,3,1,0,1,0,0,0,1,0
27,25.0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,-0.31309334072482853,0,3,0,1,0,0,0,1,0,0
28,19.0,0,0,1,0,0,0,0,0,0,0,0,1,5,0,1,0,10.764404753655324,2,1,0,1,3,0,0,1,0,0
29,21.5,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,-0.28476023837571895,0,3,1,0,0,0,1,0,0,0
30,25.0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,-0.2840412999792114,0,3,0,1,0,0,0,1,0,0
31,40.0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0.5745703693437738,0,1,0,1,0,0,0,0,0,1
32,35.0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,5.719743953987942,0,1,1,0,1,0,0,0,1,0
33,21.5,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,-0.29035583119672925,0,3,1,0,0,0,1,0,0,0
34,66.0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,-0.1712545908114476,0,2,0,1,0,0,0,1,0,0
35,28.0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,2.9327749289723513,0,1,0,1,1,0,0,1,0,0
36,42.0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1.6260914004573488,0,1,0,1,1,0,0,1,0,0
37,25.0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,-0.3129114406486037,0,3,0,1,0,0,0,1,0,0
38,21.0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,-0.277362968609244,0,3,0,1,0,0,0,1,0,0
39,18.0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,1,0.15356697387568427,0,3,1,0,2,0,1,0,0,0
40,14.0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,-0.13913190354098817,0,3,1,0,1,0,1,0,0,0
41,40.0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,-0.21564687131868895,0,3,1,0,1,0,0,0,1,0
42,27.0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0.283495599750537,0,2,1,0,1,0,0,0,1,0
43,25.0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,-0.2840412999792114,0,3,0,1,0,0,0,1,0,0
44,3.0,0,0,0,0,0,0,0,1,0,1,0,0,3,0,0,1,1.1747713256184602,2,2,1,0,1,0,1,0,0,0
45,19.0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,-0.28476023837571895,0,3,1,0,0,0,1,0,0,0
46,25.0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,-0.277362968609244,0,3,0,1,0,0,0,1,0,0
47,25.0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0.04529311897997366,0,3,0,1,1,0,0,1,0,0
48,21.5,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,-0.29035583119672925,0,3,1,0,0,0,1,0,0,0
49,25.0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,1,0.31291144064860377,0,3,0,1,2,0,0,1,0,0
50,18.0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0.14490506548402746,0,3,1,0,1,0,0,0,1,0
51,7.0,0,0,0,0,0,0,0,1,0,0,0,1,5,0,1,0,1.092842665095974,1,3,0,1,4,1,0,0,0,0
52,21.0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,-0.28819035409881505,0,3,0,1,0,0,0,1,0,0
53,49.0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,2.6971017254521517,0,1,1,0,1,0,0,0,1,0
54,29.0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0.5000433095419583,0,2,1,0,1,0,0,0,1,0
55,65.0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,2.058285981567459,1,1,0,1,0,0,0,1,0,0
56,40.0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0.9114839581456586,0,1,0,1,0,0,0,1,0,0
57,21.0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,-0.1712545908114476,0,2,1,0,0,0,1,0,0,0
58,28.5,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,-0.3129114406486037,0,3,0,1,0,0,0,1,0,0
59,5.0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0,1,0.5758350079689557,2,2,1,0,1,0,1,0,0,0
60,11.0,0,0,0,0,0,0,0,1,0,0,0,1,7,0,1,0,1.405212736470099,2,3,0,1,5,1,0,0,0,0
61,22.0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,-0.3129114406486037,0,3,0,1,0,0,0,1,0,0
62,38.0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2.8387585752893076,0,1,1,0,0,0,1,0,0,0
63,45.0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,2.9892592335943453,0,1,0,1,1,0,0,1,0,0
64,4.0,0,0,0,0,0,0,0,1,0,0,0,1,5,0,1,0,0.5823314392626983,2,3,0,1,3,1,0,0,0,0
65,40.0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0.5745703693437738,0,1,0,1,0,0,0,1,0,0
66,25.0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,1,0.03428383341417777,1,3,0,1,1,1,0,0,0,0
67,29.0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,-0.1712545908114476,0,2,1,0,0,0,0,0,1,0
68,19.0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,-0.27267254521516177,0,3,0,1,0,0,0,1,0,0
69,17.0,0,0,0,0,0,0,0,1,0,0,0,1,6,0,1,0,-0.2827766613540295,2,3,1,0,4,0,1,0,0,0
70,26.0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,1,-0.2508358741597949,0,3,0,1,2,0,0,1,0,0
71,32.0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,-0.1712545908114476,0,2,0,1,0,0,0,1,0,0
72,16.0,0,0,0,0,0,0,0,1,0,0,0,1,7,0,1,0,1.405212736470099,2,3,1,0,5,0,1,0,0,0
73,21.0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,2.55724655256046,0,2,0,1,0,0,0,1,0,0
74,26.0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0.0,0,3,0,1,1,0,0,1,0,0
75,32.0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1.8208024391934032,0,3,0,1,0,0,0,1,0,0
76,25.0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,-0.29468678539255766,0,3,0,1,0,0,0,1,0,0
77,25.0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,-0.2840412999792114,0,3,0,1,0,0,0,1,0,0
78,25.0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,-0.277362968609244,0,3,0,1,0,0,0,1,0,0
79,0.83,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,1,0.629971935416811,2,2,0,1,0,1,0,0,0,0
80,30.0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,-0.0857182454438362,0,3,1,0,0,0,1,0,0,0
81,22.0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,-0.23621890374887394,0,3,0,1,0,0,0,1,0,0
82,29.0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,-0.21456413276973182,0,3,0,1,0,0,0,1,0,0
83,21.5,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,-0.2887317233732936,0,3,1,0,0,0,1,0,0,0
84,28.0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1.4138746448617558,0,1,0,1,0,0,0,1,0,0
85,17.0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,-0.1712545908114476,0,2,1,0,0,0,1,0,0,0
86,33.0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0,1,0.06045145866537313,0,3,1,0,3,0,0,0,1,0
87,16.0,0,0,0,0,0,0,0,1,0,0,0,1,4,0,1,0,0.8627607234425888,3,3,0,1,1,0,0,1,0,0
88,25.0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,-0.277362968609244,0,3,0,1,0,0,0,1,0,0
89,23.0,0,0,1,0,0,0,0,0,0,0,0,1,5,0,1,0,10.764404753655324,2,1,1,0,3,0,1,0,0,0
90,24.0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,-0.277362968609244,0,3,0,1,0,0,0,1,0,0
91,29.0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,-0.277362968609244,0,3,0,1,0,0,0,1,0,0
92,20.0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,-0.2858429769246761,0,3,0,1,0,0,0,1,0,0
93,46.0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,2.0234564479246067,0,1,0,1,1,0,0,1,0,0
94,26.0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0,1,0.2650890444182662,2,3,0,1,1,0,0,1,0,0
95,59.0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,-0.3120106021758714,0,3,0,1,0,0,0,1,0,0
96,25.0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,-0.277362968609244,0,3,0,1,0,0,0,1,0,0
97,71.0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.8748527475573419,0,1,0,1,0,0,0,1,0,0
98,23.0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,2.1180141708821285,1,1,0,1,0,0,0,1,0,0
99,34.0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0.37011468366710554,1,2,1,0,0,0,0,0,1,0
100,34.0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0.5000433095419583,0,2,0,1,1,0,0,1,0,0
101,28.0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,-0.2840412999792114,0,3,1,0,0,0,1,0,0,0
102,25.0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,-0.2840412999792114,0,3,0,1,0,0,0,1,0,0
103,21.0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,2.721281442727461,1,1,0,1,0,0,0,1,0,0
104,33.0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,-0.25119534335804866,0,3,0,1,0,0,0,1,0,0
105,37.0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,1,-0.2827766613540295,0,3,0,1,2,0,0,1,0,0
106,28.0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,-0.2840412999792114,0,3,0,1,0,0,0,1,0,0
107,21.0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,-0.29468678539255766,0,3,1,0,0,0,1,0,0,0
108,25.0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,-0.2892730926477721,0,3,0,1,0,0,0,1,0,0
109,38.0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,-0.2840412999792114,0,3,0,1,0,0,0,1,0,0
110,21.5,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0.41992065691913233,0,3,1,0,1,0,1,0,0,0
111,47.0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1.6260914004573488,0,1,0,1,0,0,0,1,0,0
112,14.5,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0.0,0,3,1,0,1,0,1,0,0,0
113,22.0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,-0.277362968609244,0,3,0,1,0,0,0,1,0,0
114,20.0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,-0.20048853163328947,0,3,1,0,1,0,1,0,0,0
115,17.0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0.00017756912202893625,0,3,1,0,0,0,1,0,0,0
116,21.0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,-0.2827766613540295,0,3,0,1,0,0,0,1,0,0
117,70.5,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,-0.29035583119672925,0,3,0,1,0,0,0,1,0,0
118,29.0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0.283495599750537,0,2,0,1,1,0,0,1,0,0
119,24.0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,10.094007691774651,1,1,0,1,0,0,0,1,0,0
120,2.0,0,0,0,0,0,0,0,1,0,0,0,1,6,0,1,0,0.7285011433719076,2,3,1,0,4,0,1,0,0,0
121,21.0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,1,2.55724655256046,0,2,0,1,2,0,0,1,0,0
122,25.0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,-0.277362968609244,0,3,0,1,0,0,0,1,0,0
123,32.5,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0.6763477929457417,0,2,0,1,1,0,0,1,0,0
124,32.5,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,-0.06298073591573695,0,2,1,0,0,0,1,0,0,0
125,54.0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,2.721281442727461,1,1,0,1,0,0,0,1,0,0
126,12.0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,-0.13913190354098817,0,3,0,1,1,1,0,0,0,0
127,25.0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,-0.29035583119672925,0,3,0,1,0,0,0,1,0,0
128,24.0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,-0.31670102556995355,0,3,0,1,0,0,0,1,0,0
129,21.5,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,1,0.34232295059247453,1,3,1,0,1,0,1,0,0,0
130,45.0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,-0.32392072621439955,0,3,0,1,0,0,0,1,0,0
131,33.0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,-0.2840412999792114,0,3,0,1,0,0,0,1,0,0
132,20.0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,-0.32067251056752827,0,3,0,1,0,0,0,1,0,0
133,47.0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0.001983577021689412,0,3,1,0,1,0,0,0,1,0
134,29.0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0.5000433095419583,0,2,1,0,1,0,0,0,1,0
135,25.0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,-0.06298073591573695,0,2,0,1,0,0,0,1,0,0
136,23.0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0.025621925022520947,0,2,0,1,0,0,0,1,0,0
137,19.0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,1,0.5123129027787402,2,1,1,0,0,0,1,0,0,0
138,37.0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1.6737318966114614,0,1,0,1,1,0,0,1,0,0
139,16.0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,-0.22683372600651378,0,3,0,1,0,0,0,1,0,0
140,24.0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2.8041109417226804,0,1,0,1,0,0,0,1,0,0
141,21.5,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,1,0.03428383341417777,2,3,1,0,0,0,0,0,1,0
142,22.0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,-0.29035583119672925,0,3,1,0,0,0,1,0,0,0
143,24.0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0.06045145866537313,0,3,1,0,1,0,0,0,1,0
144,19.0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,-0.3336653731550135,0,3,0,1,0,0,0,1,0,0
145,18.0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,-0.12794504885316332,0,2,0,1,0,0,0,1,0,0
146,19.0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,1,0.9656208855935139,1,2,0,1,1,0,0,1,0,0
147,27.0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,-0.28837225417503987,0,3,0,1,0,0,0,1,0,0
148,9.0,0,0,0,0,0,0,0,1,0,0,0,1,4,0,1,0,0.8627607234425888,2,3,1,0,2,0,1,0,0,0
149,36.5,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,1,0.5000433095419583,2,2,0,1,0,0,0,1,0,0
150,42.0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,-0.06298073591573695,0,2,0,1,0,0,0,0,0,1
151,51.0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,-0.08355276834592196,0,2,0,1,0,0,0,0,0,1
152,22.0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,2.2584107130482987,0,1,1,0,1,0,0,0,1,0
153,55.5,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,-0.277362968609244,0,3,0,1,0,0,0,1,0,0
154,40.5,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,1,0.001983577021689412,2,3,0,1,0,0,0,1,0,0
155,25.0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,-0.30930375580347863,0,3,0,1,0,0,0,1,0,0
156,51.0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,2.0323002563924883,1,1,0,1,0,0,0,1,0,0
157,16.0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,-0.29107910054743263,0,3,1,0,0,0,1,0,0,0
158,30.0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,-0.277362968609244,0,3,0,1,0,0,0,1,0,0
159,25.0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,-0.2508358741597949,0,3,0,1,0,0,0,1,0,0
160,25.0,0,0,0,0,0,0,0,1,0,0,0,1,10,0,1,0,2.3861738618252373,2,3,0,1,8,1,0,0,0,0
161,44.0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0.07127884415494427,1,3,0,1,0,0,0,1,0,0
162,40.0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0.056120504469544724,0,2,1,0,0,0,0,0,1,0
163,26.0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,-0.2892730926477721,0,3,0,1,0,0,0,1,0,0
164,17.0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,-0.2508358741597949,0,3,0,1,0,0,0,1,0,0
165,1.0,0,0,0,0,0,0,0,1,0,0,0,1,5,0,1,0,1.092842665095974,1,3,0,1,4,1,0,0,0,0
166,9.0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,1,0.26292356732035194,2,3,0,1,0,1,0,0,0,0
167,35.0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1.7560200263322014,1,1,1,0,0,0,0,0,1,0
168,45.0,0,0,0,0,0,0,0,1,0,0,0,1,5,0,1,0,0.5823314392626983,4,3,1,0,1,0,0,0,1,0
169,40.0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0.49679509389508697,0,1,0,1,0,0,0,1,0,0
170,28.0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1.8208024391934032,0,3,0,1,0,0,0,1,0,0
171,61.0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.8248648742290902,0,1,0,1,0,0,0,1,0,0
172,4.0,0,0,0,0,0,0,0,1,0,0,1,0,5,0,1,0,0.6353856281615965,1,3,0,1,4,1,0,0,0,0
173,1.0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,1,-0.14382665788926616,1,3,1,0,1,0,1,0,0,0
174,21.0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,-0.2827766613540295,0,3,0,1,0,0,0,1,0,0
175,56.0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.7034162566696693,0,1,0,1,0,0,0,1,0,0
176,18.0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,1,-0.2858429769246761,1,3,0,1,1,0,0,1,0,0
177,25.0,0,0,0,0,0,0,0,1,0,0,0,1,4,0,1,0,0.4769463308156052,1,3,0,1,3,1,0,0,0,0
178,50.0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0.6175204421038042,0,1,1,0,0,0,1,0,0,0
179,30.0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,-0.06298073591573695,0,2,0,1,0,0,0,1,0,0
180,36.0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,-0.6260047813734322,0,3,0,1,0,0,0,1,0,0
181,21.5,0,0,0,0,0,0,0,1,0,0,0,1,10,0,1,0,2.3861738618252373,2,3,1,0,8,0,1,0,0,0
182,30.0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0.025803825098745778,0,2,0,1,0,0,0,1,0,0
183,9.0,0,0,0,0,0,0,0,1,0,0,0,1,6,0,1,0,0.7333734668422146,2,3,0,1,4,1,0,0,0,0
184,1.0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,1,1.0630673549996534,1,2,0,1,2,1,0,0,0,0
185,4.0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,1,0.3278878802577783,2,3,1,0,0,0,1,0,0,0
186,40.0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1.5394723165407802,0,1,0,1,0,0,0,1,0,0
187,21.5,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0.04529311897997366,0,3,1,0,1,0,0,0,1,0
188,45.0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0.5238635576190146,0,1,0,1,0,0,0,1,0,0
189,40.0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,1,0.04529311897997366,1,3,0,1,1,0,0,1,0,0
190,36.0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,-0.2840412999792114,0,3,0,1,0,0,0,1,0,0
191,32.0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,-0.06298073591573695,0,2,1,0,0,0,0,0,1,0
192,19.0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,-0.06298073591573695,0,2,0,1,0,0,0,1,0,0
193,19.0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,-0.2858429769246761,0,3,1,0,1,0,1,0,0,0
194,3.0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,1,0.5000433095419583,1,2,0,1,1,1,0,0,0,0
195,44.0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.5745703693437738,0,1,1,0,0,0,0,0,1,0
196,58.0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,5.719743953987942,0,1,1,0,0,0,1,0,0,0
197,25.0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,-0.29035583119672925,0,3,0,1,0,0,0,1,0,0
198,42.0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,-0.26202272884761973,1,3,0,1,0,0,0,1,0,0
199,21.5,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,-0.29035583119672925,0,3,1,0,0,0,1,0,0,0
200,24.0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,-0.06298073591573695,0,2,1,0,0,0,1,0,0,0
201,28.0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,-0.21456413276973182,0,3,0,1,0,0,0,1,0,0
202,25.0,0,0,0,0,0,0,0,1,0,0,0,1,10,0,1,0,2.3861738618252373,2,3,0,1,8,0,0,1,0,0
